Архив событий от ПТК КМ-Дельта от 22 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
1; 22.12.2018 10:08:05.000; Отсутствие связи с САУ ГА;   + ;
2; 22.12.2018 10:07:47.000; Установка настроеек ПТК КМ-Дельта;   + ;
3; 22.12.2018 10:04:52.000; Отсутствие связи с САУ ГА;   - ;
4; 22.12.2018 10:04:46.000; Отсутствие связи с САУ ГА;   + ;
5; 22.12.2018 10:04:30.000; Отсутствие связи с САУ ГА;   + ;
6; 22.12.2018 10:04:25.000; Установка даты и времени;   + ;
7; 22.12.2018 10:04:10.000; Включение ПТК КМ-Дельта;   + ;
8; 22.12.2018 10:04:10.000; Включение ПТК КМ-Дельта;   + ;
9; 22.12.2018 10:04:10.000; Включение ПТК КМ-Дельта;   + ;
10; 22.12.2018 10:03:24.000; Нет связи с МКЛП №1;   + ;
11; 22.12.2018 10:03:10.000; Включение ПТК КМ-Дельта;   + ;
12; 22.12.2018 10:03:10.000; Включение ПТК КМ-Дельта;   + ;
13; 22.12.2018 10:03:01.000; Установка даты и времени;   + ;
14; 22.12.2018 9:40:40.000; Нет связи с МКЛП №2;   + ;
15; 22.12.2018 9:40:40.000; Нет связи с МКЛП №5;   + ;
16; 22.12.2018 9:40:40.000; Нет связи с МКЛП №6;   + ;
17; 22.12.2018 9:40:40.000; Нет связи с МКЛП №7;   + ;
18; 22.12.2018 9:40:40.000; Нет связи с МКЛП №8;   + ;
19; 22.12.2018 9:40:40.000; Нет связи с МКЛП №3;   + ;
20; 22.12.2018 9:40:40.000; Нет связи с МКЛП №4;   + ;
21; 22.12.2018 9:40:05.000; Отсутствие связи с САУ ГА;   + ;
22; 22.12.2018 9:39:55.000; Нет связи с МКЛП №1;   + ;
23; 22.12.2018 9:39:53.000; Отсутствие связи с САУ ГА;   + ;
24; 22.12.2018 9:39:52.000; Отсутствие связи с САУ ГА;   + ;
25; 22.12.2018 9:39:35.000; Отсутствие связи с САУ ГА;   - ;
26; 22.12.2018 9:39:35.000; Установка настроеек ПТК КМ-Дельта;   + ;
27; 22.12.2018 9:39:30.000; Отсутствие связи с САУ ГА;   + ;
28; 22.12.2018 9:39:30.000; Отсутствие связи с САУ ГА;   + ;
29; 22.12.2018 9:39:30.000; Отсутствие связи с САУ ГА;   + ;
30; 22.12.2018 9:39:22.000; Установка настроеек ПТК КМ-Дельта;   + ;
31; 22.12.2018 9:39:21.000; Нет связи с МКЛП №1;   + ;
32; 22.12.2018 9:39:19.000; Отсутствие связи с САУ ГА;   - ;
33; 22.12.2018 9:39:19.000; Установка даты и времени;   + ;
34; 22.12.2018 9:39:15.000; Нет связи с МКЛП №3;   + ;
35; 22.12.2018 9:39:15.000; Нет связи с МКЛП №6;   + ;
36; 22.12.2018 9:39:15.000; Нет связи с МКЛП №5;   + ;
37; 22.12.2018 9:39:15.000; Нет связи с МКЛП №4;   + ;
38; 22.12.2018 9:39:15.000; Нет связи с МКЛП №2;   + ;
39; 22.12.2018 9:39:15.000; Нет связи с МКЛП №1;   + ;
40; 22.12.2018 9:39:15.000; Нет связи с МКЛП №8;   + ;
41; 22.12.2018 9:39:15.000; Нет связи с МКЛП №8;   + ;
42; 22.12.2018 9:39:15.000; Нет связи с МКЛП №7;   + ;
43; 22.12.2018 9:39:15.000; Нет связи с МКЛП №7;   + ;
44; 22.12.2018 9:39:15.000; Нет связи с МКЛП №2;   + ;
45; 22.12.2018 9:39:15.000; Нет связи с МКЛП №5;   + ;
46; 22.12.2018 9:39:15.000; Нет связи с МКЛП №6;   + ;
47; 22.12.2018 9:39:15.000; Нет связи с МКЛП №5;   + ;
48; 22.12.2018 9:39:15.000; Нет связи с МКЛП №4;   + ;
49; 22.12.2018 9:39:15.000; Нет связи с МКЛП №3;   + ;
50; 22.12.2018 9:39:15.000; Нет связи с МКЛП №2;   + ;
51; 22.12.2018 9:39:15.000; Нет связи с МКЛП №1;   + ;
52; 22.12.2018 9:39:15.000; Нет связи с МКЛП №1;   + ;
53; 22.12.2018 9:39:15.000; Нет связи с МКЛП №4;   + ;
54; 22.12.2018 9:39:15.000; Нет связи с МКЛП №6;   + ;
55; 22.12.2018 9:39:15.000; Нет связи с МКЛП №7;   + ;
56; 22.12.2018 9:39:15.000; Нет связи с МКЛП №3;   + ;
57; 22.12.2018 9:39:15.000; Нет связи с МКЛП №2;   + ;
58; 22.12.2018 9:39:15.000; Нет связи с МКЛП №7;   + ;
59; 22.12.2018 9:39:15.000; Нет связи с МКЛП №6;   + ;
60; 22.12.2018 9:39:15.000; Нет связи с МКЛП №5;   + ;
61; 22.12.2018 9:39:15.000; Нет связи с МКЛП №4;   + ;
62; 22.12.2018 9:39:15.000; Нет связи с МКЛП №3;   + ;
63; 22.12.2018 9:39:15.000; Нет связи с МКЛП №8;   + ;
64; 22.12.2018 9:39:15.000; Нет связи с МКЛП №1;   + ;
65; 22.12.2018 9:39:15.000; Нет связи с МКЛП №8;   + ;
66; 22.12.2018 9:39:15.000; Нет связи с МКЛП №7;   + ;
67; 22.12.2018 9:39:15.000; Нет связи с МКЛП №6;   + ;
68; 22.12.2018 9:39:15.000; Нет связи с МКЛП №5;   + ;
69; 22.12.2018 9:39:15.000; Нет связи с МКЛП №4;   + ;
70; 22.12.2018 9:39:15.000; Нет связи с МКЛП №3;   + ;
71; 22.12.2018 9:39:15.000; Нет связи с МКЛП №2;   + ;
72; 22.12.2018 9:39:15.000; Нет связи с МКЛП №8;   + ;
73; 22.12.2018 9:39:15.000; Нет связи с МКЛП №4;   + ;
74; 22.12.2018 9:39:15.000; Нет связи с МКЛП №1;   + ;
75; 22.12.2018 9:39:15.000; Нет связи с МКЛП №1;   + ;
76; 22.12.2018 9:39:15.000; Нет связи с МКЛП №8;   + ;
77; 22.12.2018 9:39:15.000; Нет связи с МКЛП №7;   + ;
78; 22.12.2018 9:39:15.000; Нет связи с МКЛП №6;   + ;
79; 22.12.2018 9:39:15.000; Нет связи с МКЛП №5;   + ;
80; 22.12.2018 9:39:15.000; Нет связи с МКЛП №2;   + ;
81; 22.12.2018 9:39:15.000; Нет связи с МКЛП №3;   + ;
82; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
83; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
84; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
85; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
86; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
87; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
88; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
89; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
90; 22.12.2018 9:39:10.000; Включение ПТК КМ-Дельта;   + ;
91; 22.12.2018 4:50:25.000; Нет связи с МКЛП №3;   + ;
92; 22.12.2018 4:50:25.000; Нет связи с МКЛП №5;   + ;
93; 22.12.2018 4:50:25.000; Нет связи с МКЛП №6;   + ;
94; 22.12.2018 4:50:25.000; Нет связи с МКЛП №1;   + ;
95; 22.12.2018 4:50:25.000; Нет связи с МКЛП №8;   + ;
96; 22.12.2018 4:50:25.000; Нет связи с МКЛП №2;   + ;
97; 22.12.2018 4:50:25.000; Нет связи с МКЛП №4;   + ;
98; 22.12.2018 4:50:25.000; Нет связи с МКЛП №7;   + ;
99; 21.12.2018 23:16:42.000; Отсутствие связи с САУ ГА;   + ;
100; 21.12.2018 23:16:24.000; Отсутствие связи с САУ ГА;   - ;
101; 21.12.2018 23:00:45.000; Отсутствие связи с САУ ГА;   + ;
102; 21.12.2018 23:00:27.000; Отсутствие связи с САУ ГА;   - ;
103; 21.12.2018 22:58:52.000; Отсутствие связи с САУ ГА;   + ;
104; 21.12.2018 22:49:20.000; Установка даты и времени;   + ;
105; 21.12.2018 22:14:11.000; Отсутствие связи с САУ ГА;   - ;
106; 21.12.2018 22:14:11.000; Установка настроеек ПТК КМ-Дельта;   + ;
107; 21.12.2018 22:13:57.000; Отсутствие связи с САУ ГА;   + ;
108; 21.12.2018 22:12:09.000; Сброс АРЗ;   - ;
109; 21.12.2018 22:12:09.000; Аварийный останов ГА;   - ;
110; 21.12.2018 22:12:09.000; Блокировка пуска ГА;   - ;
111; 21.12.2018 22:07:56.000; Отсутствие связи с САУ ГА;   - ;
112; 21.12.2018 22:07:51.000; Отсутствие связи с САУ ГА;   + ;
113; 21.12.2018 22:07:17.000; Отсутствие связи с САУ ГА;   + ;
114; 21.12.2018 22:07:16.000; Предупреждение от МКЛП №6;   + ;
115; 21.12.2018 22:07:16.000; Предупреждение от МКЛП №4;   + ;
116; 21.12.2018 22:07:16.000; Предупреждение от МКЛП №3;   + ;
117; 21.12.2018 22:07:16.000; Предупреждение от МКЛП №2;   + ;
118; 21.12.2018 22:07:16.000; Предупреждение от МКЛП №1;   + ;
119; 21.12.2018 22:07:16.000; Блокировка пуска ГА;   - ;
120; 21.12.2018 22:07:16.000; Предупреждение от МКЛП №7;   + ;
121; 21.12.2018 22:07:16.000; Предупреждение от МКЛП №5;   + ;
122; 21.12.2018 22:07:16.000; Отсутствие связи с САУ ГА;   + ;
123; 21.12.2018 22:07:16.000; Блокировка пуска ГА;   + ;
124; 21.12.2018 22:07:16.000; Предупреждение от МКЛП №8;   + ;
125; 21.12.2018 22:07:14.000; Предупреждение от МКЛП №8;   + ;
126; 21.12.2018 22:07:14.000; Блокировка пуска ГА;   + ;
127; 21.12.2018 22:07:14.000; Предупреждение от МКЛП №1;   + ;
128; 21.12.2018 22:07:14.000; Предупреждение от МКЛП №7;   + ;
129; 21.12.2018 22:07:14.000; Предупреждение от МКЛП №6;   + ;
130; 21.12.2018 22:07:14.000; Блокировка пуска ГА;   - ;
131; 21.12.2018 22:07:14.000; Предупреждение от МКЛП №4;   + ;
132; 21.12.2018 22:07:14.000; Предупреждение от МКЛП №3;   + ;
133; 21.12.2018 22:07:14.000; Предупреждение от МКЛП №5;   + ;
134; 21.12.2018 22:07:14.000; Предупреждение от МКЛП №2;   + ;
135; 21.12.2018 22:07:10.000; Нет связи с МКЛП №7;   + ;
136; 21.12.2018 22:07:10.000; Нет связи с МКЛП №8;   + ;
137; 21.12.2018 22:07:10.000; Нет связи с МКЛП №2;   + ;
138; 21.12.2018 22:07:10.000; Нет связи с МКЛП №3;   + ;
139; 21.12.2018 22:07:10.000; Нет связи с МКЛП №4;   + ;
140; 21.12.2018 22:07:10.000; Нет связи с МКЛП №5;   + ;
141; 21.12.2018 22:07:10.000; Нет связи с МКЛП №6;   + ;
142; 21.12.2018 22:07:09.000; Блокировка пуска ГА;   + ;
143; 21.12.2018 22:07:08.000; Установка настроеек ПТК КМ-Дельта;   + ;
144; 21.12.2018 22:07:08.000; Отсутствие связи с САУ ГА;   - ;
145; 21.12.2018 22:07:04.000; Отсутствие связи с САУ ГА;   + ;
146; 21.12.2018 22:07:00.000; Установка настроеек ПТК КМ-Дельта;   + ;
147; 21.12.2018 22:06:58.000; Установка настроеек ПТК КМ-Дельта;   + ;
148; 21.12.2018 22:06:48.000; Блокировка пуска ГА;   + ;
149; 21.12.2018 22:06:48.000; Авария от МКЛП №1;   + ;
150; 21.12.2018 22:06:48.000; Предупреждение от МКЛП №1;   + ;
151; 21.12.2018 22:06:47.000; Сброс АРЗ;   + ;
152; 21.12.2018 22:06:47.000; Предупреждение от МКЛП №5;   + ;
153; 21.12.2018 22:06:47.000; Предупреждение от МКЛП №8;   + ;
154; 21.12.2018 22:06:47.000; Блокировка пуска ГА;   + ;
155; 21.12.2018 22:06:47.000; Предупреждение от МКЛП №7;   + ;
156; 21.12.2018 22:06:47.000; Авария от МКЛП №8;   + ;
157; 21.12.2018 22:06:47.000; Авария от МКЛП №7;   + ;
158; 21.12.2018 22:06:47.000; Предупреждение от МКЛП №6;   + ;
159; 21.12.2018 22:06:47.000; Аварийный останов ГА;   + ;
160; 21.12.2018 22:06:47.000; Авария от МКЛП №5;   + ;
161; 21.12.2018 22:06:47.000; Авария от МКЛП №6;   + ;
162; 21.12.2018 22:06:47.000; Авария от МКЛП №2;   + ;
163; 21.12.2018 22:06:47.000; Предупреждение от МКЛП №3;   + ;
164; 21.12.2018 22:06:47.000; Авария от МКЛП №3;   + ;
165; 21.12.2018 22:06:47.000; Предупреждение от МКЛП №2;   + ;
166; 21.12.2018 22:06:47.000; Авария от МКЛП №4;   + ;
167; 21.12.2018 22:06:47.000; Предупреждение от МКЛП №4;   + ;
168; 21.12.2018 22:06:46.000; Отсутствие связи с САУ ГА;   - ;
169; 21.12.2018 22:06:46.000; Установка настроеек ПТК КМ-Дельта;   + ;
170; 21.12.2018 22:06:46.000; Нет связи с МКЛП №8;   - ;
171; 21.12.2018 22:06:46.000; Отсутствие связи с САУ ГА;   - ;
172; 21.12.2018 22:06:46.000; Установка настроеек ПТК КМ-Дельта;   + ;
173; 21.12.2018 22:06:43.000; Отсутствие связи с САУ ГА;   - ;
174; 21.12.2018 22:06:43.000; Установка настроеек ПТК КМ-Дельта;   + ;
175; 21.12.2018 22:06:41.000; Отсутствие связи с САУ ГА;   + ;
176; 21.12.2018 22:06:30.000; Нет связи с МКЛП №7;   + ;
177; 21.12.2018 22:06:30.000; Нет связи с МКЛП №8;   + ;
178; 21.12.2018 22:06:30.000; Нет связи с МКЛП №2;   + ;
179; 21.12.2018 22:06:30.000; Нет связи с МКЛП №3;   + ;
180; 21.12.2018 22:06:30.000; Нет связи с МКЛП №4;   + ;
181; 21.12.2018 22:06:30.000; Нет связи с МКЛП №5;   + ;
182; 21.12.2018 22:06:30.000; Нет связи с МКЛП №6;   + ;
183; 21.12.2018 22:06:26.000; Отсутствие связи с САУ ГА;   + ;
184; 21.12.2018 22:06:23.000; Установка настроеек ПТК КМ-Дельта;   + ;
185; 21.12.2018 22:06:13.000; Авария от МКЛП №1;   + ;
186; 21.12.2018 22:06:13.000; Предупреждение от МКЛП №1;   + ;
187; 21.12.2018 22:06:12.000; Авария от МКЛП №3;   + ;
188; 21.12.2018 22:06:12.000; Предупреждение от МКЛП №2;   + ;
189; 21.12.2018 22:06:12.000; Авария от МКЛП №2;   + ;
190; 21.12.2018 22:06:12.000; Предупреждение от МКЛП №8;   + ;
191; 21.12.2018 22:06:12.000; Авария от МКЛП №8;   + ;
192; 21.12.2018 22:06:12.000; Предупреждение от МКЛП №3;   + ;
193; 21.12.2018 22:06:12.000; Блокировка пуска ГА;   + ;
194; 21.12.2018 22:06:12.000; Предупреждение от МКЛП №4;   + ;
195; 21.12.2018 22:06:12.000; Авария от МКЛП №4;   + ;
196; 21.12.2018 22:06:12.000; Предупреждение от МКЛП №7;   + ;
197; 21.12.2018 22:06:12.000; Авария от МКЛП №7;   + ;
198; 21.12.2018 22:06:12.000; Предупреждение от МКЛП №5;   + ;
199; 21.12.2018 22:06:12.000; Авария от МКЛП №5;   + ;
200; 21.12.2018 22:06:12.000; Предупреждение от МКЛП №6;   + ;
201; 21.12.2018 22:06:12.000; Авария от МКЛП №6;   + ;
202; 21.12.2018 22:06:12.000; Сброс АРЗ;   + ;
203; 21.12.2018 22:06:12.000; Аварийный останов ГА;   + ;
204; 21.12.2018 22:06:11.000; Отсутствие связи с САУ ГА;   - ;
205; 21.12.2018 22:06:11.000; Установка настроеек ПТК КМ-Дельта;   + ;
206; 21.12.2018 22:06:09.000; Установка настроеек ПТК КМ-Дельта;   + ;
207; 21.12.2018 22:06:09.000; Отсутствие связи с САУ ГА;   - ;
208; 21.12.2018 22:06:08.000; Отсутствие связи с САУ ГА;   + ;
209; 21.12.2018 22:05:59.000; Предупреждение от МКЛП №2;   + ;
210; 21.12.2018 22:05:59.000; Предупреждение от МКЛП №7;   + ;
211; 21.12.2018 22:05:59.000; Предупреждение от МКЛП №6;   + ;
212; 21.12.2018 22:05:59.000; Предупреждение от МКЛП №8;   + ;
213; 21.12.2018 22:05:59.000; Предупреждение от МКЛП №5;   + ;
214; 21.12.2018 22:05:59.000; Блокировка пуска ГА;   + ;
215; 21.12.2018 22:05:59.000; Предупреждение от МКЛП №1;   + ;
216; 21.12.2018 22:05:59.000; Отсутствие связи с САУ ГА;   + ;
217; 21.12.2018 22:05:59.000; Блокировка пуска ГА;   - ;
218; 21.12.2018 22:05:59.000; Предупреждение от МКЛП №4;   + ;
219; 21.12.2018 22:05:59.000; Предупреждение от МКЛП №3;   + ;
220; 21.12.2018 22:05:58.000; Отсутствие связи с САУ ГА;   + ;
221; 21.12.2018 22:05:50.000; Установка настроеек ПТК КМ-Дельта;   + ;
222; 21.12.2018 22:05:50.000; Отсутствие связи с САУ ГА;   - ;
223; 21.12.2018 22:05:50.000; Нет связи с МКЛП №1;   + ;
224; 21.12.2018 22:05:48.000; Нет связи с МКЛП №4;   + ;
225; 21.12.2018 22:05:48.000; Нет связи с МКЛП №5;   + ;
226; 21.12.2018 22:05:48.000; Нет связи с МКЛП №6;   + ;
227; 21.12.2018 22:05:48.000; Нет связи с МКЛП №2;   + ;
228; 21.12.2018 22:05:48.000; Нет связи с МКЛП №7;   + ;
229; 21.12.2018 22:05:48.000; Нет связи с МКЛП №1;   + ;
230; 21.12.2018 22:05:48.000; Нет связи с МКЛП №8;   + ;
231; 21.12.2018 22:05:48.000; Нет связи с МКЛП №3;   + ;
232; 21.12.2018 22:05:42.000; Отсутствие связи с САУ ГА;   + ;
233; 21.12.2018 22:05:42.000; Отсутствие связи с САУ ГА;   - ;
234; 21.12.2018 22:05:42.000; Установка настроеек ПТК КМ-Дельта;   + ;
235; 21.12.2018 22:05:41.000; Блокировка пуска ГА;   - ;
236; 21.12.2018 22:05:41.000; Предупреждение от МКЛП №5;   + ;
237; 21.12.2018 22:05:41.000; Предупреждение от МКЛП №4;   + ;
238; 21.12.2018 22:05:41.000; Предупреждение от МКЛП №7;   + ;
239; 21.12.2018 22:05:41.000; Предупреждение от МКЛП №8;   + ;
240; 21.12.2018 22:05:41.000; Блокировка пуска ГА;   + ;
241; 21.12.2018 22:05:41.000; Предупреждение от МКЛП №2;   + ;
242; 21.12.2018 22:05:41.000; Предупреждение от МКЛП №3;   + ;
243; 21.12.2018 22:05:41.000; Предупреждение от МКЛП №1;   + ;
244; 21.12.2018 22:05:41.000; Предупреждение от МКЛП №6;   + ;
245; 21.12.2018 22:05:40.000; Отсутствие связи с САУ ГА;   + ;
246; 21.12.2018 22:05:40.000; Отсутствие связи с САУ ГА;   + ;
247; 21.12.2018 22:05:37.000; Предупреждение от МКЛП №3;   + ;
248; 21.12.2018 22:05:37.000; Предупреждение от МКЛП №8;   + ;
249; 21.12.2018 22:05:37.000; Включение ПТК КМ-Дельта;   + ;
250; 21.12.2018 22:05:37.000; Предупреждение от МКЛП №7;   + ;
251; 21.12.2018 22:05:37.000; Предупреждение от МКЛП №6;   + ;
252; 21.12.2018 22:05:37.000; Предупреждение от МКЛП №5;   + ;
253; 21.12.2018 22:05:37.000; Предупреждение от МКЛП №4;   + ;
