Архив событий от ПТК КМ-Дельта от 14 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
1; 14.12.2018 19:24:31.000; Отсутствие связи с САУ ГА;   + ;
2; 14.12.2018 19:24:01.000; Установка настроеек ПТК КМ-Дельта;   + ;
3; 14.12.2018 19:24:01.000; Отсутствие связи с САУ ГА;   - ;
4; 14.12.2018 19:23:41.000; Отсутствие связи с САУ ГА;   + ;
5; 14.12.2018 19:23:09.000; Установка даты и времени;   + ;
6; 14.12.2018 19:23:09.000; Отсутствие связи с САУ ГА;   - ;
7; 13.12.2018 0:04:31.000; Отсутствие связи с САУ ГА;   - ;
8; 13.12.2018 0:04:31.000; Отсутствие связи с САУ ГА;   + ;
9; 13.12.2018 0:04:01.000; Установка даты и времени;   + ;
10; 12.12.2018 23:48:27.000; Отсутствие связи с САУ ГА;   + ;
11; 12.12.2018 23:48:09.000; Отсутствие связи с САУ ГА;   - ;
12; 12.12.2018 23:46:14.000; Отсутствие связи с САУ ГА;   + ;
13; 12.12.2018 22:32:39.000; Отсутствие связи с САУ ГА;   - ;
14; 12.12.2018 22:31:54.000; Отсутствие связи с САУ ГА;   + ;
15; 12.12.2018 22:17:49.000; Установка даты и времени;   + ;
16; 12.12.2018 20:38:51.000; Отсутствие связи с САУ ГА;   - ;
17; 12.12.2018 20:35:18.000; Отсутствие связи с САУ ГА;   + ;
18; 12.12.2018 20:34:49.000; Отсутствие связи с САУ ГА;   - ;
19; 12.12.2018 20:34:31.000; Отсутствие связи с САУ ГА;   + ;
20; 12.12.2018 20:21:15.000; Установка даты и времени;   + ;
21; 12.12.2018 20:19:34.000; Отсутствие связи с САУ ГА;   + ;
22; 12.12.2018 20:19:34.000; Установка даты и времени;   + ;
23; 12.12.2018 6:50:53.000; Отсутствие связи с САУ ГА;   + ;
24; 11.12.2018 23:50:10.000; Отсутствие связи с САУ ГА;   - ;
25; 11.12.2018 23:03:20.000; Отсутствие связи с САУ ГА;   + ;
26; 11.12.2018 23:03:01.000; Нет связи с МКЛП №7;   + ;
27; 11.12.2018 23:03:01.000; Нет связи с МКЛП №6;   + ;
28; 11.12.2018 23:03:01.000; Нет связи с МКЛП №5;   + ;
29; 11.12.2018 23:03:01.000; Нет связи с МКЛП №4;   + ;
30; 11.12.2018 23:03:01.000; Нет связи с МКЛП №3;   + ;
31; 11.12.2018 23:03:01.000; Нет связи с МКЛП №2;   + ;
32; 11.12.2018 23:03:01.000; Нет связи с МКЛП №1;   + ;
33; 11.12.2018 23:03:01.000; Нет связи с МКЛП №8;   + ;
34; 11.12.2018 22:30:50.000; Установка даты и времени;   + ;
35; 11.12.2018 22:25:27.000; Нет связи с МКЛП №2;   + ;
36; 11.12.2018 22:25:27.000; Нет связи с МКЛП №4;   + ;
37; 11.12.2018 22:25:27.000; Нет связи с МКЛП №3;   + ;
38; 11.12.2018 22:25:27.000; Нет связи с МКЛП №8;   + ;
39; 11.12.2018 22:25:27.000; Нет связи с МКЛП №7;   + ;
40; 11.12.2018 22:25:27.000; Нет связи с МКЛП №6;   + ;
41; 11.12.2018 22:25:27.000; Нет связи с МКЛП №5;   + ;
42; 11.12.2018 22:25:27.000; Нет связи с МКЛП №1;   + ;
43; 11.12.2018 22:17:09.000; Отсутствие связи с САУ ГА;   - ;
44; 11.12.2018 22:17:09.000; Отсутствие связи с САУ ГА;   + ;
45; 11.12.2018 22:16:22.000; Установка даты и времени;   + ;
