Архив событий от ПТК КМ-Дельта от 14 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
46; 11.12.2018 22:08:09.000; Нет связи с МКЛП №3;   + ;
47; 11.12.2018 22:08:09.000; Нет связи с МКЛП №5;   + ;
48; 11.12.2018 22:08:09.000; Нет связи с МКЛП №4;   + ;
49; 11.12.2018 22:08:09.000; Нет связи с МКЛП №2;   + ;
50; 11.12.2018 22:08:09.000; Нет связи с МКЛП №1;   + ;
51; 11.12.2018 22:08:09.000; Нет связи с МКЛП №8;   + ;
52; 11.12.2018 22:08:09.000; Нет связи с МКЛП №7;   + ;
53; 11.12.2018 22:08:09.000; Нет связи с МКЛП №6;   + ;
54; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
55; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
56; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
57; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
58; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
59; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
60; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
61; 11.12.2018 22:07:59.000; Установка даты и времени;   + ;
62; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
63; 11.12.2018 21:59:13.000; Нет связи с МКЛП №7;   + ;
64; 11.12.2018 21:59:13.000; Нет связи с МКЛП №6;   + ;
65; 11.12.2018 21:59:13.000; Нет связи с МКЛП №5;   + ;
66; 11.12.2018 21:59:13.000; Нет связи с МКЛП №4;   + ;
67; 11.12.2018 21:59:13.000; Нет связи с МКЛП №3;   + ;
68; 11.12.2018 21:59:13.000; Нет связи с МКЛП №2;   + ;
69; 11.12.2018 21:59:13.000; Нет связи с МКЛП №1;   + ;
70; 11.12.2018 21:59:13.000; Нет связи с МКЛП №8;   + ;
71; 11.12.2018 21:58:49.000; Установка даты и времени;   + ;
72; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
73; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
74; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
75; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
76; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
77; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
78; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
79; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
80; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
81; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
82; 11.12.2018 21:46:48.000; Установка даты и времени;   + ;
83; 11.12.2018 20:59:11.000; Отсутствие связи с САУ ГА;   - ;
84; 11.12.2018 20:54:06.000; Отсутствие связи с САУ ГА;   + ;
85; 11.12.2018 20:53:48.000; Отсутствие связи с САУ ГА;   - ;
86; 11.12.2018 20:52:40.000; Отсутствие связи с САУ ГА;   + ;
87; 11.12.2018 20:52:13.000; Сброс АРЗ;   + ;
88; 11.12.2018 20:52:01.000; Авария от МКЛП №3;   + ;
89; 11.12.2018 20:52:00.000; Предупреждение от МКЛП №3;   + ;
90; 11.12.2018 20:51:45.000; Аварийный останов ГА;   + ;
91; 11.12.2018 20:51:45.000; Авария от МКЛП №1;   + ;
92; 11.12.2018 20:51:39.000; Блокировка пуска ГА;   + ;
93; 11.12.2018 20:51:39.000; Предупреждение от МКЛП №1;   + ;
94; 11.12.2018 20:51:23.000; Аварийный останов ГА;   - ;
95; 11.12.2018 20:51:23.000; Блокировка пуска ГА;   - ;
96; 11.12.2018 20:51:18.000; Отсутствие связи с САУ ГА;   - ;
97; 11.12.2018 20:46:46.000; Авария от МКЛП №3;   + ;
98; 11.12.2018 20:46:46.000; Предупреждение от МКЛП №3;   + ;
99; 11.12.2018 20:46:46.000; Авария от МКЛП №1;   + ;
100; 11.12.2018 20:46:17.000; Предупреждение от МКЛП №1;   + ;
101; 11.12.2018 20:46:17.000; Авария от МКЛП №1;   + ;
102; 11.12.2018 20:46:17.000; Блокировка пуска ГА;   + ;
103; 11.12.2018 20:46:17.000; Аварийный останов ГА;   + ;
104; 11.12.2018 20:46:17.000; Блокировка пуска ГА;   + ;
105; 11.12.2018 20:46:17.000; Аварийный останов ГА;   - ;
106; 11.12.2018 20:46:17.000; Предупреждение от МКЛП №1;   + ;
107; 11.12.2018 20:46:17.000; Аварийный останов ГА;   + ;
108; 11.12.2018 20:46:17.000; Блокировка пуска ГА;   - ;
109; 11.12.2018 20:44:49.000; Аварийный останов ГА;   - ;
110; 11.12.2018 20:44:49.000; Блокировка пуска ГА;   - ;
111; 11.12.2018 20:44:49.000; Авария от МКЛП №3;   + ;
112; 11.12.2018 20:43:33.000; Предупреждение от МКЛП №3;   + ;
113; 11.12.2018 20:41:57.000; Авария от МКЛП №1;   + ;
114; 11.12.2018 20:41:57.000; Предупреждение от МКЛП №1;   + ;
115; 11.12.2018 20:41:57.000; Аварийный останов ГА;   + ;
116; 11.12.2018 20:41:57.000; Блокировка пуска ГА;   + ;
117; 11.12.2018 20:41:57.000; Нет связи с МКЛП №1;   - ;
118; 11.12.2018 20:41:57.000; Нет связи с МКЛП №2;   + ;
119; 11.12.2018 20:41:57.000; Нет связи с МКЛП №8;   + ;
120; 11.12.2018 20:41:57.000; Нет связи с МКЛП №7;   + ;
121; 11.12.2018 20:41:57.000; Нет связи с МКЛП №6;   + ;
122; 11.12.2018 20:41:57.000; Нет связи с МКЛП №5;   + ;
123; 11.12.2018 20:41:57.000; Нет связи с МКЛП №4;   + ;
124; 11.12.2018 20:41:33.000; Нет связи с МКЛП №3;   - ;
125; 11.12.2018 20:33:57.000; Нет связи с МКЛП №3;   + ;
126; 11.12.2018 20:33:33.000; Нет связи с МКЛП №1;   + ;
127; 11.12.2018 20:31:29.000; Нет связи с МКЛП №5;   + ;
128; 11.12.2018 20:31:29.000; Нет связи с МКЛП №8;   + ;
129; 11.12.2018 20:31:29.000; Нет связи с МКЛП №7;   + ;
130; 11.12.2018 20:31:29.000; Нет связи с МКЛП №6;   + ;
131; 11.12.2018 20:31:29.000; Отсутствие связи с САУ ГА;   + ;
132; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
133; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
134; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
135; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
136; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
137; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
138; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
139; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
140; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
141; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
142; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
143; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
144; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
145; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
146; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
147; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
148; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
149; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
150; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
151; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
152; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
153; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
154; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
155; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
156; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
157; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
158; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
159; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
160; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
161; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
162; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
163; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
164; 01.12.2018 23:04:14.000; Отсутствие связи с САУ ГА;   + ;
165; 01.12.2018 23:04:14.000; Отсутствие связи с САУ ГА;   - ;
166; 01.12.2018 23:02:10.000; Отсутствие связи с САУ ГА;   + ;
167; 01.12.2018 23:01:32.000; Отсутствие связи с САУ ГА;   - ;
168; 01.12.2018 22:57:07.000; Отсутствие связи с САУ ГА;   + ;
169; 01.12.2018 22:56:43.000; Отсутствие связи с САУ ГА;   - ;
170; 01.12.2018 22:47:52.000; Отсутствие связи с САУ ГА;   + ;
171; 01.12.2018 22:47:34.000; Отсутствие связи с САУ ГА;   - ;
172; 01.12.2018 22:43:00.000; Отсутствие связи с САУ ГА;   + ;
173; 01.12.2018 22:42:42.000; Отсутствие связи с САУ ГА;   - ;
174; 01.12.2018 22:37:41.000; Отсутствие связи с САУ ГА;   + ;
175; 01.12.2018 22:37:24.000; Отсутствие связи с САУ ГА;   - ;
176; 01.12.2018 22:36:33.000; Отсутствие связи с САУ ГА;   + ;
177; 01.12.2018 22:36:15.000; Отсутствие связи с САУ ГА;   - ;
178; 01.12.2018 22:35:24.000; Отсутствие связи с САУ ГА;   + ;
179; 01.12.2018 22:35:06.000; Отсутствие связи с САУ ГА;   - ;
180; 01.12.2018 22:34:47.000; Отсутствие связи с САУ ГА;   - ;
181; 01.12.2018 22:34:47.000; Отсутствие связи с САУ ГА;   + ;
182; 01.12.2018 22:34:01.000; Отсутствие связи с САУ ГА;   - ;
183; 01.12.2018 22:34:01.000; Отсутствие связи с САУ ГА;   + ;
184; 01.12.2018 22:33:24.000; Отсутствие связи с САУ ГА;   + ;
185; 01.12.2018 22:33:02.000; Отсутствие связи с САУ ГА;   - ;
186; 01.12.2018 22:32:24.000; Отсутствие связи с САУ ГА;   + ;
187; 01.12.2018 22:32:23.000; Отсутствие связи с САУ ГА;   + ;
188; 01.12.2018 22:32:06.000; Отсутствие связи с САУ ГА;   - ;
189; 01.12.2018 22:31:59.000; Отсутствие связи с САУ ГА;   - ;
190; 01.12.2018 22:31:56.000; Отсутствие связи с САУ ГА;   + ;
191; 01.12.2018 22:31:38.000; Отсутствие связи с САУ ГА;   - ;
192; 01.12.2018 22:31:32.000; Отсутствие связи с САУ ГА;   + ;
193; 01.12.2018 22:31:30.000; Отсутствие связи с САУ ГА;   + ;
194; 01.12.2018 22:31:27.000; Отсутствие связи с САУ ГА;   - ;
195; 01.12.2018 22:31:27.000; Отсутствие связи с САУ ГА;   + ;
196; 01.12.2018 22:31:26.000; Отсутствие связи с САУ ГА;   - ;
197; 01.12.2018 22:31:17.000; Отсутствие связи с САУ ГА;   + ;
198; 01.12.2018 22:31:16.000; Отсутствие связи с САУ ГА;   + ;
199; 01.12.2018 22:31:15.000; Отсутствие связи с САУ ГА;   + ;
200; 01.12.2018 22:31:14.000; Отсутствие связи с САУ ГА;   - ;
201; 01.12.2018 22:31:12.000; Отсутствие связи с САУ ГА;   - ;
202; 01.12.2018 22:31:00.000; Отсутствие связи с САУ ГА;   + ;
203; 01.12.2018 22:31:00.000; Нет связи с МКЛП №2;   + ;
204; 01.12.2018 22:31:00.000; Нет связи с МКЛП №4;   + ;
205; 01.12.2018 22:31:00.000; Нет связи с МКЛП №3;   + ;
206; 01.12.2018 22:31:00.000; Нет связи с МКЛП №6;   + ;
207; 01.12.2018 22:31:00.000; Нет связи с МКЛП №1;   + ;
208; 01.12.2018 22:31:00.000; Нет связи с МКЛП №8;   + ;
209; 01.12.2018 22:31:00.000; Нет связи с МКЛП №5;   + ;
210; 01.12.2018 22:31:00.000; Нет связи с МКЛП №7;   + ;
211; 01.12.2018 22:30:54.000; Нет связи с МКЛП №6;   + ;
212; 01.12.2018 22:30:54.000; Нет связи с МКЛП №2;   + ;
213; 01.12.2018 22:30:54.000; Нет связи с МКЛП №3;   + ;
214; 01.12.2018 22:30:54.000; Нет связи с МКЛП №4;   + ;
215; 01.12.2018 22:30:54.000; Нет связи с МКЛП №5;   + ;
216; 01.12.2018 22:30:54.000; Нет связи с МКЛП №5;   + ;
217; 01.12.2018 22:30:54.000; Нет связи с МКЛП №7;   + ;
218; 01.12.2018 22:30:54.000; Нет связи с МКЛП №8;   + ;
219; 01.12.2018 22:30:54.000; Нет связи с МКЛП №6;   + ;
220; 01.12.2018 22:30:54.000; Нет связи с МКЛП №4;   + ;
221; 01.12.2018 22:30:54.000; Нет связи с МКЛП №3;   + ;
222; 01.12.2018 22:30:54.000; Нет связи с МКЛП №2;   + ;
223; 01.12.2018 22:30:54.000; Нет связи с МКЛП №1;   + ;
224; 01.12.2018 22:30:54.000; Нет связи с МКЛП №1;   + ;
225; 01.12.2018 22:30:54.000; Нет связи с МКЛП №8;   + ;
226; 01.12.2018 22:30:54.000; Нет связи с МКЛП №7;   + ;
227; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
228; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
229; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
230; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
231; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
232; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
233; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
234; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
235; 01.12.2018 22:30:53.000; Отсутствие связи с САУ ГА;   + ;
236; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
237; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
238; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
239; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
240; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
241; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
242; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
243; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
244; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
245; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
246; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
247; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
248; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
249; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
250; 01.12.2018 22:30:53.000; Отсутствие связи с САУ ГА;   + ;
251; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
252; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
253; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
254; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
255; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
256; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
257; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
258; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
259; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
260; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
261; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
262; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
263; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
264; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
265; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
266; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
267; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
268; 01.12.2018 22:30:53.000; Отсутствие связи с САУ ГА;   + ;
269; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
270; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
271; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
272; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
273; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
274; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
275; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
276; 01.12.2018 22:30:53.000; Отсутствие связи с САУ ГА;   + ;
277; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
278; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
279; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
280; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
281; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
282; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
283; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
284; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
285; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
286; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
287; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
288; 01.12.2018 22:30:50.000; Нет связи с МКЛП №2;   + ;
289; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
290; 01.12.2018 22:30:50.000; Нет связи с МКЛП №3;   + ;
291; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
292; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
293; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
294; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
295; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
296; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
297; 01.12.2018 22:30:50.000; Нет связи с МКЛП №8;   + ;
298; 01.12.2018 22:30:50.000; Нет связи с МКЛП №7;   + ;
299; 01.12.2018 22:30:50.000; Нет связи с МКЛП №6;   + ;
300; 01.12.2018 22:30:50.000; Нет связи с МКЛП №5;   + ;
301; 01.12.2018 22:30:50.000; Нет связи с МКЛП №4;   + ;
302; 01.12.2018 22:30:50.000; Нет связи с МКЛП №3;   + ;
303; 01.12.2018 22:30:50.000; Нет связи с МКЛП №2;   + ;
304; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
305; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
306; 01.12.2018 22:30:50.000; Отсутствие связи с САУ ГА;   + ;
307; 01.12.2018 22:30:50.000; Нет связи с МКЛП №8;   + ;
308; 01.12.2018 22:30:50.000; Нет связи с МКЛП №7;   + ;
309; 01.12.2018 22:30:50.000; Нет связи с МКЛП №6;   + ;
310; 01.12.2018 22:30:50.000; Нет связи с МКЛП №5;   + ;
311; 01.12.2018 22:30:50.000; Нет связи с МКЛП №4;   + ;
312; 01.12.2018 22:30:50.000; Нет связи с МКЛП №3;   + ;
313; 01.12.2018 22:30:50.000; Нет связи с МКЛП №2;   + ;
314; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
315; 01.12.2018 22:30:50.000; Нет связи с МКЛП №4;   + ;
316; 01.12.2018 22:30:50.000; Нет связи с МКЛП №5;   + ;
317; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
318; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
319; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
320; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
321; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
322; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
323; 01.12.2018 22:30:50.000; Нет связи с МКЛП №2;   + ;
324; 01.12.2018 22:30:50.000; Нет связи с МКЛП №6;   + ;
325; 01.12.2018 22:19:06.000; Отсутствие связи с САУ ГА;   + ;
326; 01.12.2018 22:18:42.000; Отсутствие связи с САУ ГА;   - ;
327; 01.12.2018 22:18:09.000; Отсутствие связи с САУ ГА;   + ;
328; 01.12.2018 22:18:09.000; Отсутствие связи с САУ ГА;   + ;
329; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
330; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
331; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
332; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
333; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
334; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
335; 01.12.2018 22:17:49.000; Отсутствие связи с САУ ГА;   + ;
336; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
337; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
338; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
339; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
340; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
341; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
342; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
343; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
344; 01.12.2018 22:17:49.000; Включение ПТК КМ-Дельта;   + ;
345; 01.12.2018 22:17:49.000; Отсутствие связи с САУ ГА;   + ;
346; 01.12.2018 22:16:22.000; Нет связи с МКЛП №6;   + ;
347; 01.12.2018 22:16:22.000; Нет связи с МКЛП №5;   + ;
348; 01.12.2018 22:16:22.000; Нет связи с МКЛП №3;   + ;
349; 01.12.2018 22:16:22.000; Нет связи с МКЛП №2;   + ;
350; 01.12.2018 22:16:22.000; Нет связи с МКЛП №1;   + ;
351; 01.12.2018 22:16:22.000; Включение ПТК КМ-Дельта;   + ;
352; 01.12.2018 22:16:22.000; Нет связи с МКЛП №4;   + ;
353; 01.12.2018 22:16:22.000; Отсутствие связи с САУ ГА;   + ;
354; 01.12.2018 22:16:22.000; Нет связи с МКЛП №8;   + ;
355; 01.12.2018 22:16:22.000; Нет связи с МКЛП №7;   + ;
356; 01.12.2018 22:14:42.000; Нет связи с МКЛП №2;   + ;
357; 01.12.2018 22:14:42.000; Нет связи с МКЛП №3;   + ;
358; 01.12.2018 22:14:42.000; Нет связи с МКЛП №4;   + ;
359; 01.12.2018 22:14:42.000; Нет связи с МКЛП №5;   + ;
360; 01.12.2018 22:14:42.000; Нет связи с МКЛП №6;   + ;
361; 01.12.2018 22:14:42.000; Нет связи с МКЛП №7;   + ;
362; 01.12.2018 22:14:42.000; Нет связи с МКЛП №1;   + ;
363; 01.12.2018 22:14:42.000; Нет связи с МКЛП №8;   + ;
364; 01.12.2018 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
365; 01.12.2018 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
366; 01.12.2018 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
367; 01.12.2018 22:14:15.000; Включение ПТК КМ-Дельта;   + ;
368; 01.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
369; 01.12.2018 20:51:18.000; Отсутствие связи с САУ ГА;   + ;
