Архив событий от ПТК КМ-Дельта от 27 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
192; 24.12.2018 19:23:53.000; Нет связи с МКЛП №2;   - ;
193; 24.12.2018 19:23:27.000; Отсутствие связи с САУ ГА;   - ;
194; 24.12.2018 19:22:01.000; Отсутствие связи с САУ ГА;   + ;
195; 24.12.2018 19:21:40.000; Аварийный останов ГА;   - ;
196; 24.12.2018 19:21:40.000; Блокировка пуска ГА;   - ;
197; 24.12.2018 19:21:40.000; Сброс АРЗ;   - ;
198; 24.12.2018 19:21:32.000; Предупреждение от МКЛП №3;   + ;
199; 24.12.2018 19:21:32.000; Авария от МКЛП №3;   + ;
200; 24.12.2018 19:21:32.000; Сброс АРЗ;   + ;
201; 24.12.2018 19:21:31.000; Отсутствие связи с САУ ГА;   - ;
202; 24.12.2018 19:21:29.000; Блокировка пуска ГА;   + ;
203; 24.12.2018 19:21:29.000; Аварийный останов ГА;   + ;
204; 24.12.2018 19:21:29.000; Предупреждение от МКЛП №1;   + ;
205; 24.12.2018 19:21:29.000; Авария от МКЛП №1;   + ;
206; 24.12.2018 19:20:44.000; Отсутствие связи с САУ ГА;   + ;
207; 24.12.2018 19:20:28.000; Блокировка пуска ГА;   - ;
208; 24.12.2018 19:20:28.000; Аварийный останов ГА;   - ;
209; 24.12.2018 19:20:27.000; Установка настроеек ПТК КМ-Дельта;   + ;
210; 24.12.2018 19:20:20.000; Авария от МКЛП №3;   + ;
211; 24.12.2018 19:20:20.000; Предупреждение от МКЛП №3;   + ;
212; 24.12.2018 19:20:18.000; Аварийный останов ГА;   + ;
213; 24.12.2018 19:20:18.000; Блокировка пуска ГА;   + ;
214; 24.12.2018 19:20:18.000; Авария от МКЛП №1;   + ;
215; 24.12.2018 19:20:18.000; Предупреждение от МКЛП №1;   + ;
216; 24.12.2018 19:20:15.000; Аварийный останов ГА;   - ;
217; 24.12.2018 19:20:15.000; Отсутствие связи с САУ ГА;   - ;
218; 24.12.2018 19:20:15.000; Блокировка пуска ГА;   - ;
219; 24.12.2018 19:20:08.000; Аварийный останов ГА;   + ;
220; 24.12.2018 19:20:08.000; Блокировка пуска ГА;   + ;
221; 24.12.2018 19:20:08.000; Авария от МКЛП №1;   + ;
222; 24.12.2018 19:20:08.000; Предупреждение от МКЛП №1;   + ;
223; 24.12.2018 19:20:05.000; Сброс АРЗ;   - ;
224; 24.12.2018 19:20:05.000; Аварийный останов ГА;   - ;
225; 24.12.2018 19:20:05.000; Блокировка пуска ГА;   - ;
226; 24.12.2018 19:19:55.000; Нет связи с МКЛП №3;   + ;
227; 24.12.2018 19:19:53.000; Нет связи с МКЛП №1;   + ;
228; 24.12.2018 19:19:33.000; Установка настроеек ПТК КМ-Дельта;   + ;
229; 24.12.2018 19:19:13.000; Блокировка пуска ГА;   - ;
230; 24.12.2018 19:19:13.000; Аварийный останов ГА;   - ;
231; 24.12.2018 19:19:13.000; Сброс АРЗ;   - ;
232; 24.12.2018 19:19:09.000; Установка настроеек ПТК КМ-Дельта;   + ;
233; 24.12.2018 19:19:09.000; Отсутствие связи с САУ ГА;   - ;
234; 24.12.2018 19:19:06.000; Блокировка пуска ГА;   - ;
235; 24.12.2018 19:19:06.000; Сброс АРЗ;   - ;
236; 24.12.2018 19:19:06.000; Аварийный останов ГА;   - ;
237; 24.12.2018 19:19:01.000; Сброс АРЗ;   + ;
238; 24.12.2018 19:19:01.000; Авария от МКЛП №1;   + ;
239; 24.12.2018 19:19:01.000; Предупреждение от МКЛП №1;   + ;
240; 24.12.2018 19:19:00.000; Аварийный останов ГА;   + ;
241; 24.12.2018 19:19:00.000; Блокировка пуска ГА;   + ;
242; 24.12.2018 19:18:59.000; Авария от МКЛП №3;   + ;
243; 24.12.2018 19:18:59.000; Предупреждение от МКЛП №3;   + ;
244; 24.12.2018 19:18:58.000; Отсутствие связи с САУ ГА;   + ;
245; 24.12.2018 19:18:56.000; Отсутствие связи с САУ ГА;   + ;
246; 24.12.2018 19:18:55.000; Аварийный останов ГА;   + ;
247; 24.12.2018 19:18:55.000; Блокировка пуска ГА;   + ;
248; 24.12.2018 19:18:55.000; Авария от МКЛП №1;   + ;
249; 24.12.2018 19:18:55.000; Предупреждение от МКЛП №3;   + ;
250; 24.12.2018 19:18:55.000; Авария от МКЛП №3;   + ;
251; 24.12.2018 19:18:55.000; Сброс АРЗ;   + ;
252; 24.12.2018 19:18:55.000; Предупреждение от МКЛП №1;   + ;
253; 24.12.2018 19:18:47.000; Аварийный останов ГА;   - ;
254; 24.12.2018 19:18:47.000; Блокировка пуска ГА;   - ;
255; 24.12.2018 19:18:47.000; Сброс АРЗ;   - ;
256; 24.12.2018 19:18:40.000; Блокировка пуска ГА;   - ;
257; 24.12.2018 19:18:40.000; Аварийный останов ГА;   - ;
258; 24.12.2018 19:18:33.000; Сброс АРЗ;   + ;
259; 24.12.2018 19:18:32.000; Установка даты и времени;   + ;
260; 24.12.2018 19:18:32.000; Отсутствие связи с САУ ГА;   - ;
261; 24.12.2018 19:18:30.000; Авария от МКЛП №1;   + ;
262; 24.12.2018 19:18:30.000; Предупреждение от МКЛП №1;   + ;
263; 24.12.2018 19:18:30.000; Отсутствие связи с САУ ГА;   + ;
264; 24.12.2018 19:18:28.000; Авария от МКЛП №1;   + ;
265; 24.12.2018 19:18:28.000; Предупреждение от МКЛП №1;   + ;
266; 24.12.2018 19:18:27.000; Блокировка пуска ГА;   + ;
267; 24.12.2018 19:18:27.000; Авария от МКЛП №3;   + ;
268; 24.12.2018 19:18:27.000; Предупреждение от МКЛП №3;   + ;
269; 24.12.2018 19:18:27.000; Аварийный останов ГА;   + ;
270; 24.12.2018 19:18:25.000; Блокировка пуска ГА;   + ;
271; 24.12.2018 19:18:25.000; Предупреждение от МКЛП №3;   + ;
272; 24.12.2018 19:18:25.000; Авария от МКЛП №3;   + ;
273; 24.12.2018 19:18:25.000; Аварийный останов ГА;   + ;
274; 24.12.2018 19:18:15.000; Блокировка пуска ГА;   + ;
275; 24.12.2018 19:18:15.000; Аварийный останов ГА;   + ;
276; 24.12.2018 19:18:15.000; Сброс АРЗ;   + ;
277; 24.12.2018 19:18:15.000; Предупреждение от МКЛП №1;   + ;
278; 24.12.2018 19:18:15.000; Авария от МКЛП №1;   + ;
279; 24.12.2018 19:18:15.000; Предупреждение от МКЛП №3;   + ;
280; 24.12.2018 19:18:15.000; Авария от МКЛП №3;   + ;
281; 24.12.2018 19:18:15.000; Авария от МКЛП №1;   + ;
282; 24.12.2018 19:18:15.000; Предупреждение от МКЛП №1;   + ;
283; 24.12.2018 19:18:15.000; Сброс АРЗ;   + ;
284; 24.12.2018 19:18:15.000; Предупреждение от МКЛП №3;   + ;
285; 24.12.2018 19:18:15.000; Авария от МКЛП №3;   + ;
286; 24.12.2018 19:18:15.000; Блокировка пуска ГА;   + ;
287; 24.12.2018 19:18:15.000; Аварийный останов ГА;   + ;
288; 24.12.2018 19:18:13.000; Нет связи с МКЛП №7;   + ;
289; 24.12.2018 19:18:13.000; Нет связи с МКЛП №5;   + ;
290; 24.12.2018 19:18:13.000; Нет связи с МКЛП №4;   + ;
291; 24.12.2018 19:18:13.000; Нет связи с МКЛП №2;   + ;
292; 24.12.2018 19:18:13.000; Нет связи с МКЛП №5;   + ;
293; 24.12.2018 19:18:13.000; Нет связи с МКЛП №6;   + ;
294; 24.12.2018 19:18:13.000; Нет связи с МКЛП №7;   + ;
295; 24.12.2018 19:18:13.000; Нет связи с МКЛП №8;   + ;
296; 24.12.2018 19:18:13.000; Нет связи с МКЛП №2;   + ;
297; 24.12.2018 19:18:13.000; Нет связи с МКЛП №4;   + ;
298; 24.12.2018 19:18:13.000; Нет связи с МКЛП №5;   + ;
299; 24.12.2018 19:18:13.000; Нет связи с МКЛП №6;   + ;
300; 24.12.2018 19:18:13.000; Нет связи с МКЛП №7;   + ;
301; 24.12.2018 19:18:13.000; Нет связи с МКЛП №8;   + ;
302; 24.12.2018 19:18:13.000; Нет связи с МКЛП №2;   + ;
303; 24.12.2018 19:18:13.000; Нет связи с МКЛП №4;   + ;
304; 24.12.2018 19:18:13.000; Нет связи с МКЛП №5;   + ;
305; 24.12.2018 19:18:13.000; Нет связи с МКЛП №6;   + ;
306; 24.12.2018 19:18:13.000; Нет связи с МКЛП №6;   + ;
307; 24.12.2018 19:18:13.000; Нет связи с МКЛП №8;   + ;
308; 24.12.2018 19:18:13.000; Нет связи с МКЛП №7;   + ;
309; 24.12.2018 19:18:13.000; Нет связи с МКЛП №8;   + ;
310; 24.12.2018 19:18:13.000; Нет связи с МКЛП №5;   + ;
311; 24.12.2018 19:18:13.000; Нет связи с МКЛП №2;   + ;
312; 24.12.2018 19:18:13.000; Нет связи с МКЛП №6;   + ;
313; 24.12.2018 19:18:13.000; Нет связи с МКЛП №2;   + ;
314; 24.12.2018 19:18:13.000; Нет связи с МКЛП №4;   + ;
315; 24.12.2018 19:18:13.000; Нет связи с МКЛП №4;   + ;
316; 24.12.2018 19:18:13.000; Нет связи с МКЛП №2;   + ;
317; 24.12.2018 19:18:13.000; Нет связи с МКЛП №8;   + ;
318; 24.12.2018 19:18:13.000; Нет связи с МКЛП №7;   + ;
319; 24.12.2018 19:18:13.000; Нет связи с МКЛП №6;   + ;
320; 24.12.2018 19:18:13.000; Нет связи с МКЛП №5;   + ;
321; 24.12.2018 19:18:13.000; Нет связи с МКЛП №8;   + ;
322; 24.12.2018 19:18:13.000; Нет связи с МКЛП №4;   + ;
323; 24.12.2018 19:18:13.000; Нет связи с МКЛП №7;   + ;
324; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
325; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
326; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
327; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
328; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
329; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
330; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
331; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
332; 24.12.2018 19:18:10.000; Включение ПТК КМ-Дельта;   + ;
333; 24.12.2018 10:56:11.000; Нет связи с МКЛП №6;   + ;
334; 24.12.2018 10:56:11.000; Нет связи с МКЛП №3;   + ;
335; 24.12.2018 10:56:10.000; Нет связи с МКЛП №1;   + ;
336; 24.12.2018 10:56:10.000; Нет связи с МКЛП №7;   + ;
337; 24.12.2018 10:56:07.000; Нет связи с МКЛП №8;   + ;
338; 24.12.2018 10:56:07.000; Нет связи с МКЛП №4;   + ;
339; 24.12.2018 10:56:07.000; Нет связи с МКЛП №7;   - ;
340; 24.12.2018 10:56:05.000; Нет связи с МКЛП №2;   + ;
341; 24.12.2018 10:56:05.000; Нет связи с МКЛП №2;   - ;
342; 24.12.2018 10:56:05.000; Нет связи с МКЛП №5;   - ;
343; 24.12.2018 10:56:04.000; Нет связи с МКЛП №3;   - ;
344; 24.12.2018 10:56:04.000; Нет связи с МКЛП №8;   - ;
345; 24.12.2018 10:56:04.000; Нет связи с МКЛП №4;   - ;
346; 24.12.2018 10:56:03.000; Нет связи с МКЛП №1;   - ;
347; 24.12.2018 10:56:03.000; Нет связи с МКЛП №7;   + ;
348; 24.12.2018 10:56:02.000; Нет связи с МКЛП №3;   + ;
349; 24.12.2018 10:56:02.000; Нет связи с МКЛП №4;   + ;
350; 24.12.2018 10:56:01.000; Нет связи с МКЛП №8;   + ;
351; 24.12.2018 10:56:00.000; Нет связи с МКЛП №7;   - ;
352; 24.12.2018 10:55:59.000; Нет связи с МКЛП №2;   - ;
353; 24.12.2018 10:55:59.000; Нет связи с МКЛП №4;   - ;
354; 24.12.2018 10:55:59.000; Нет связи с МКЛП №6;   - ;
355; 24.12.2018 10:55:58.000; Нет связи с МКЛП №1;   + ;
356; 24.12.2018 10:55:58.000; Нет связи с МКЛП №7;   + ;
357; 24.12.2018 10:55:58.000; Нет связи с МКЛП №3;   - ;
358; 24.12.2018 10:55:58.000; Нет связи с МКЛП №8;   - ;
359; 24.12.2018 10:55:58.000; Нет связи с МКЛП №2;   + ;
360; 24.12.2018 10:55:57.000; Нет связи с МКЛП №3;   + ;
361; 24.12.2018 10:55:55.000; Нет связи с МКЛП №4;   + ;
362; 24.12.2018 10:55:55.000; Нет связи с МКЛП №7;   - ;
363; 24.12.2018 10:55:55.000; Нет связи с МКЛП №1;   - ;
364; 24.12.2018 10:55:54.000; Нет связи с МКЛП №1;   + ;
365; 24.12.2018 10:55:54.000; Нет связи с МКЛП №6;   + ;
366; 24.12.2018 10:55:51.000; Нет связи с МКЛП №6;   - ;
367; 24.12.2018 10:55:51.000; Нет связи с МКЛП №3;   - ;
368; 24.12.2018 10:55:51.000; Нет связи с МКЛП №4;   - ;
369; 24.12.2018 10:55:51.000; Нет связи с МКЛП №1;   - ;
370; 24.12.2018 10:55:51.000; Нет связи с МКЛП №1;   + ;
371; 24.12.2018 10:55:48.000; Нет связи с МКЛП №2;   - ;
372; 24.12.2018 10:55:47.000; Нет связи с МКЛП №1;   - ;
373; 24.12.2018 10:55:46.000; Нет связи с МКЛП №3;   + ;
374; 24.12.2018 10:55:46.000; Нет связи с МКЛП №6;   + ;
375; 24.12.2018 10:55:45.000; Нет связи с МКЛП №1;   + ;
376; 24.12.2018 10:55:44.000; Нет связи с МКЛП №5;   + ;
377; 24.12.2018 10:55:44.000; Нет связи с МКЛП №4;   + ;
378; 24.12.2018 10:55:43.000; Нет связи с МКЛП №3;   - ;
379; 24.12.2018 10:55:43.000; Нет связи с МКЛП №2;   + ;
