Архив событий от ПТК КМ-Дельта от 27 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
1; 27.12.2018 22:24:01.000; Нет связи с МКЛП №5;   - ;
2; 27.12.2018 22:24:01.000; Нет связи с МКЛП №1;   - ;
3; 27.12.2018 22:24:01.000; Нет связи с МКЛП №2;   - ;
4; 27.12.2018 22:24:01.000; Нет связи с МКЛП №3;   - ;
5; 27.12.2018 22:24:01.000; Нет связи с МКЛП №4;   - ;
6; 27.12.2018 22:24:01.000; Нет связи с МКЛП №6;   - ;
7; 27.12.2018 22:24:01.000; Нет связи с МКЛП №7;   - ;
8; 27.12.2018 22:24:01.000; Нет связи с МКЛП №8;   - ;
9; 27.12.2018 22:23:54.000; Установка даты и времени;   + ;
10; 27.12.2018 22:23:28.000; Отсутствие связи с САУ ГА;   + ;
11; 27.12.2018 22:23:04.000; Отсутствие связи с САУ ГА;   - ;
12; 27.12.2018 22:23:04.000; Установка даты и времени;   + ;
13; 27.12.2018 22:03:38.000; Нет связи с МКЛП №5;   - ;
14; 27.12.2018 22:03:38.000; Нет связи с МКЛП №1;   - ;
15; 27.12.2018 22:03:38.000; Нет связи с МКЛП №3;   - ;
16; 27.12.2018 22:03:38.000; Нет связи с МКЛП №1;   + ;
17; 27.12.2018 22:03:38.000; Нет связи с МКЛП №4;   - ;
18; 27.12.2018 22:03:38.000; Нет связи с МКЛП №2;   - ;
19; 27.12.2018 22:03:38.000; Нет связи с МКЛП №3;   + ;
20; 27.12.2018 22:03:37.000; Нет связи с МКЛП №2;   + ;
21; 27.12.2018 22:03:36.000; Нет связи с МКЛП №4;   + ;
22; 27.12.2018 22:03:36.000; Нет связи с МКЛП №5;   + ;
23; 27.12.2018 21:50:07.000; Отсутствие связи с САУ ГА;   - ;
24; 27.12.2018 21:50:02.000; Нет связи с МКЛП №3;   - ;
25; 27.12.2018 21:50:02.000; Нет связи с МКЛП №2;   - ;
26; 27.12.2018 21:50:02.000; Нет связи с МКЛП №4;   - ;
27; 27.12.2018 21:50:02.000; Нет связи с МКЛП №5;   - ;
28; 27.12.2018 21:50:02.000; Нет связи с МКЛП №6;   - ;
29; 27.12.2018 21:50:02.000; Нет связи с МКЛП №1;   - ;
30; 27.12.2018 21:50:02.000; Нет связи с МКЛП №8;   - ;
31; 27.12.2018 21:50:02.000; Нет связи с МКЛП №7;   - ;
32; 27.12.2018 21:49:57.000; Отсутствие связи с САУ ГА;   + ;
33; 27.12.2018 21:49:30.000; Отсутствие связи с САУ ГА;   + ;
34; 27.12.2018 21:49:21.000; Отсутствие связи с САУ ГА;   - ;
35; 27.12.2018 21:49:21.000; Установка даты и времени;   + ;
36; 27.12.2018 21:49:10.000; Включение ПТК КМ-Дельта;   + ;
37; 26.12.2018 6:45:37.000; Отсутствие связи с САУ ГА;   + ;
38; 26.12.2018 6:45:07.000; Установка даты и времени;   + ;
39; 25.12.2018 21:28:10.000; Установка даты и времени;   + ;
40; 25.12.2018 20:21:57.000; Установка даты и времени;   + ;
41; 25.12.2018 20:21:57.000; Отсутствие связи с САУ ГА;   - ;
42; 25.12.2018 20:21:30.000; Отсутствие связи с САУ ГА;   + ;
43; 25.12.2018 20:21:13.000; Нет связи с МКЛП №8;   + ;
44; 25.12.2018 20:21:13.000; Нет связи с МКЛП №7;   + ;
45; 25.12.2018 20:21:13.000; Нет связи с МКЛП №5;   + ;
46; 25.12.2018 20:21:13.000; Нет связи с МКЛП №4;   + ;
47; 25.12.2018 20:21:13.000; Нет связи с МКЛП №3;   + ;
48; 25.12.2018 20:21:13.000; Нет связи с МКЛП №2;   + ;
49; 25.12.2018 20:21:13.000; Нет связи с МКЛП №1;   + ;
50; 25.12.2018 20:21:13.000; Нет связи с МКЛП №6;   + ;
51; 25.12.2018 20:21:10.000; Включение ПТК КМ-Дельта;   + ;
52; 25.12.2018 20:16:50.000; Отсутствие связи с САУ ГА;   + ;
53; 25.12.2018 20:16:30.000; Отсутствие связи с САУ ГА;   + ;
54; 25.12.2018 20:16:22.000; Установка даты и времени;   + ;
55; 25.12.2018 20:16:13.000; Нет связи с МКЛП №7;   + ;
56; 25.12.2018 20:16:13.000; Нет связи с МКЛП №1;   + ;
57; 25.12.2018 20:16:13.000; Нет связи с МКЛП №2;   + ;
58; 25.12.2018 20:16:13.000; Нет связи с МКЛП №3;   + ;
59; 25.12.2018 20:16:13.000; Нет связи с МКЛП №4;   + ;
60; 25.12.2018 20:16:13.000; Нет связи с МКЛП №5;   + ;
61; 25.12.2018 20:16:13.000; Нет связи с МКЛП №8;   + ;
62; 25.12.2018 20:16:13.000; Нет связи с МКЛП №6;   + ;
63; 25.12.2018 20:16:10.000; Включение ПТК КМ-Дельта;   + ;
64; 25.12.2018 20:08:30.000; Отсутствие связи с САУ ГА;   + ;
65; 25.12.2018 20:08:13.000; Нет связи с МКЛП №6;   + ;
66; 25.12.2018 20:08:13.000; Нет связи с МКЛП №7;   + ;
67; 25.12.2018 20:08:13.000; Нет связи с МКЛП №1;   + ;
68; 25.12.2018 20:08:13.000; Нет связи с МКЛП №2;   + ;
69; 25.12.2018 20:08:13.000; Нет связи с МКЛП №3;   + ;
70; 25.12.2018 20:08:13.000; Нет связи с МКЛП №4;   + ;
71; 25.12.2018 20:08:13.000; Нет связи с МКЛП №8;   + ;
72; 25.12.2018 20:08:13.000; Нет связи с МКЛП №5;   + ;
73; 25.12.2018 20:08:10.000; Включение ПТК КМ-Дельта;   + ;
74; 25.12.2018 20:08:01.000; Отсутствие связи с САУ ГА;   - ;
75; 25.12.2018 20:08:01.000; Установка даты и времени;   + ;
76; 25.12.2018 20:06:31.000; Отсутствие связи с САУ ГА;   + ;
77; 25.12.2018 20:06:14.000; Установка даты и времени;   + ;
78; 25.12.2018 19:52:04.000; Отсутствие связи с САУ ГА;   + ;
79; 25.12.2018 19:51:39.000; Установка даты и времени;   + ;
80; 25.12.2018 19:51:13.000; Нет связи с МКЛП №1;   + ;
81; 25.12.2018 19:51:13.000; Нет связи с МКЛП №8;   + ;
82; 25.12.2018 19:51:13.000; Нет связи с МКЛП №7;   + ;
83; 25.12.2018 19:51:13.000; Нет связи с МКЛП №5;   + ;
84; 25.12.2018 19:51:13.000; Нет связи с МКЛП №4;   + ;
85; 25.12.2018 19:51:13.000; Нет связи с МКЛП №3;   + ;
86; 25.12.2018 19:51:13.000; Нет связи с МКЛП №2;   + ;
87; 25.12.2018 19:51:13.000; Нет связи с МКЛП №6;   + ;
88; 25.12.2018 19:51:10.000; Включение ПТК КМ-Дельта;   + ;
89; 25.12.2018 6:19:15.000; Нет связи с МКЛП №5;   - ;
90; 25.12.2018 6:19:15.000; Нет связи с МКЛП №1;   - ;
91; 25.12.2018 6:19:15.000; Нет связи с МКЛП №5;   + ;
92; 25.12.2018 6:19:15.000; Нет связи с МКЛП №6;   - ;
93; 25.12.2018 6:19:15.000; Нет связи с МКЛП №7;   - ;
94; 25.12.2018 6:19:15.000; Нет связи с МКЛП №8;   - ;
95; 25.12.2018 6:19:15.000; Нет связи с МКЛП №2;   - ;
96; 25.12.2018 6:19:15.000; Нет связи с МКЛП №3;   - ;
97; 25.12.2018 6:19:14.000; Нет связи с МКЛП №8;   + ;
98; 25.12.2018 6:19:14.000; Нет связи с МКЛП №3;   + ;
99; 25.12.2018 6:19:13.000; Нет связи с МКЛП №7;   + ;
100; 25.12.2018 6:19:13.000; Нет связи с МКЛП №2;   + ;
101; 25.12.2018 6:19:13.000; Нет связи с МКЛП №6;   + ;
102; 25.12.2018 6:19:13.000; Нет связи с МКЛП №1;   + ;
103; 25.12.2018 3:35:18.000; Установка даты и времени;   + ;
104; 25.12.2018 3:35:18.000; Отсутствие связи с САУ ГА;   - ;
105; 25.12.2018 3:33:05.000; Отсутствие связи с САУ ГА;   - ;
106; 25.12.2018 3:32:19.000; Отсутствие связи с САУ ГА;   + ;
107; 25.12.2018 3:31:10.000; Нет связи с МКЛП №4;   + ;
108; 25.12.2018 3:31:10.000; Нет связи с МКЛП №5;   + ;
109; 25.12.2018 3:31:10.000; Нет связи с МКЛП №3;   + ;
110; 25.12.2018 3:31:10.000; Нет связи с МКЛП №2;   + ;
111; 25.12.2018 3:31:10.000; Нет связи с МКЛП №1;   + ;
112; 25.12.2018 3:31:10.000; Нет связи с МКЛП №8;   + ;
113; 25.12.2018 3:31:10.000; Нет связи с МКЛП №7;   + ;
114; 25.12.2018 3:31:10.000; Нет связи с МКЛП №6;   + ;
115; 24.12.2018 22:07:24.000; Отсутствие связи с САУ ГА;   - ;
116; 24.12.2018 22:07:18.000; Отсутствие связи с САУ ГА;   + ;
117; 24.12.2018 22:06:51.000; Отсутствие связи с САУ ГА;   - ;
118; 24.12.2018 22:01:02.000; Отсутствие связи с САУ ГА;   + ;
119; 24.12.2018 21:49:28.000; Отсутствие связи с САУ ГА;   - ;
120; 24.12.2018 21:48:13.000; Отсутствие связи с САУ ГА;   + ;
121; 24.12.2018 21:47:27.000; Установка даты и времени;   + ;
122; 24.12.2018 21:43:59.000; Отсутствие связи с САУ ГА;   - ;
123; 24.12.2018 21:17:16.000; Отсутствие связи с САУ ГА;   + ;
124; 24.12.2018 21:09:04.000; Отсутствие связи с САУ ГА;   - ;
125; 24.12.2018 21:05:14.000; Отсутствие связи с САУ ГА;   + ;
126; 24.12.2018 21:04:47.000; Отсутствие связи с САУ ГА;   - ;
127; 24.12.2018 20:57:55.000; Отсутствие связи с САУ ГА;   + ;
128; 24.12.2018 20:50:15.000; Отсутствие связи с САУ ГА;   - ;
129; 24.12.2018 20:44:19.000; Отсутствие связи с САУ ГА;   + ;
130; 24.12.2018 20:44:01.000; Отсутствие связи с САУ ГА;   - ;
131; 24.12.2018 20:43:58.000; Отсутствие связи с САУ ГА;   + ;
132; 24.12.2018 20:41:51.000; Установка даты и времени;   + ;
133; 24.12.2018 19:59:13.000; Предупреждение от МКЛП №1;   + ;
134; 24.12.2018 19:59:13.000; Авария от МКЛП №1;   + ;
135; 24.12.2018 19:59:13.000; Блокировка пуска ГА;   - ;
136; 24.12.2018 19:59:13.000; Предупреждение от МКЛП №3;   + ;
137; 24.12.2018 19:59:13.000; Авария от МКЛП №3;   + ;
138; 24.12.2018 19:59:13.000; Блокировка пуска ГА;   + ;
139; 24.12.2018 19:59:13.000; Аварийный останов ГА;   + ;
140; 24.12.2018 19:59:13.000; Сброс АРЗ;   + ;
141; 24.12.2018 19:59:13.000; Сброс АРЗ;   - ;
142; 24.12.2018 19:59:13.000; Аварийный останов ГА;   - ;
143; 24.12.2018 19:59:13.000; Блокировка пуска ГА;   + ;
144; 24.12.2018 19:59:13.000; Сброс АРЗ;   + ;
145; 24.12.2018 19:59:13.000; Аварийный останов ГА;   + ;
146; 24.12.2018 19:59:13.000; Авария от МКЛП №1;   + ;
147; 24.12.2018 19:59:13.000; Предупреждение от МКЛП №1;   + ;
148; 24.12.2018 19:59:13.000; Сброс АРЗ;   - ;
149; 24.12.2018 19:59:13.000; Авария от МКЛП №3;   + ;
150; 24.12.2018 19:59:13.000; Аварийный останов ГА;   - ;
151; 24.12.2018 19:59:13.000; Блокировка пуска ГА;   - ;
152; 24.12.2018 19:59:13.000; Предупреждение от МКЛП №3;   + ;
153; 24.12.2018 19:59:09.000; Блокировка пуска ГА;   - ;
154; 24.12.2018 19:59:09.000; Предупреждение от МКЛП №1;   + ;
155; 24.12.2018 19:59:09.000; Аварийный останов ГА;   - ;
156; 24.12.2018 19:59:09.000; Сброс АРЗ;   - ;
157; 24.12.2018 19:59:09.000; Блокировка пуска ГА;   + ;
158; 24.12.2018 19:59:09.000; Сброс АРЗ;   + ;
159; 24.12.2018 19:59:09.000; Сброс АРЗ;   + ;
160; 24.12.2018 19:59:09.000; Аварийный останов ГА;   + ;
161; 24.12.2018 19:59:09.000; Авария от МКЛП №3;   + ;
162; 24.12.2018 19:59:09.000; Предупреждение от МКЛП №3;   + ;
163; 24.12.2018 19:59:09.000; Авария от МКЛП №1;   + ;
164; 24.12.2018 19:59:09.000; Сброс АРЗ;   - ;
165; 24.12.2018 19:59:09.000; Аварийный останов ГА;   - ;
166; 24.12.2018 19:59:09.000; Блокировка пуска ГА;   - ;
167; 24.12.2018 19:59:09.000; Аварийный останов ГА;   + ;
168; 24.12.2018 19:59:09.000; Авария от МКЛП №3;   + ;
169; 24.12.2018 19:59:09.000; Предупреждение от МКЛП №3;   + ;
170; 24.12.2018 19:59:09.000; Авария от МКЛП №1;   + ;
171; 24.12.2018 19:59:09.000; Предупреждение от МКЛП №1;   + ;
172; 24.12.2018 19:59:09.000; Блокировка пуска ГА;   + ;
173; 24.12.2018 19:58:26.000; Отсутствие связи с САУ ГА;   - ;
174; 24.12.2018 19:57:01.000; Отсутствие связи с САУ ГА;   + ;
175; 24.12.2018 19:55:33.000; Отсутствие связи с САУ ГА;   - ;
176; 24.12.2018 19:45:00.000; Предупреждение от МКЛП №3;   + ;
177; 24.12.2018 19:45:00.000; Сброс АРЗ;   + ;
178; 24.12.2018 19:45:00.000; Авария от МКЛП №3;   + ;
179; 24.12.2018 19:44:59.000; Нет связи с МКЛП №3;   - ;
180; 24.12.2018 19:44:45.000; Предупреждение от МКЛП №1;   + ;
181; 24.12.2018 19:44:45.000; Авария от МКЛП №1;   + ;
182; 24.12.2018 19:44:45.000; Блокировка пуска ГА;   + ;
183; 24.12.2018 19:44:45.000; Аварийный останов ГА;   + ;
184; 24.12.2018 19:44:44.000; Нет связи с МКЛП №1;   - ;
185; 24.12.2018 19:23:53.000; Нет связи с МКЛП №3;   - ;
186; 24.12.2018 19:23:53.000; Нет связи с МКЛП №4;   - ;
187; 24.12.2018 19:23:53.000; Нет связи с МКЛП №5;   - ;
188; 24.12.2018 19:23:53.000; Нет связи с МКЛП №6;   - ;
189; 24.12.2018 19:23:53.000; Нет связи с МКЛП №7;   - ;
190; 24.12.2018 19:23:53.000; Нет связи с МКЛП №8;   - ;
191; 24.12.2018 19:23:53.000; Нет связи с МКЛП №1;   - ;
