Архив событий от ПТК КМ-Дельта от 13 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
1; 13.12.2018 0:04:31.000; Отсутствие связи с САУ ГА;   - ;
2; 13.12.2018 0:04:31.000; Отсутствие связи с САУ ГА;   + ;
3; 13.12.2018 0:04:01.000; Установка даты и времени;   + ;
4; 12.12.2018 23:48:27.000; Отсутствие связи с САУ ГА;   + ;
5; 12.12.2018 23:48:09.000; Отсутствие связи с САУ ГА;   - ;
6; 12.12.2018 23:46:14.000; Отсутствие связи с САУ ГА;   + ;
7; 12.12.2018 22:32:39.000; Отсутствие связи с САУ ГА;   - ;
8; 12.12.2018 22:31:54.000; Отсутствие связи с САУ ГА;   + ;
9; 12.12.2018 22:17:49.000; Установка даты и времени;   + ;
10; 12.12.2018 20:38:51.000; Отсутствие связи с САУ ГА;   - ;
11; 12.12.2018 20:35:18.000; Отсутствие связи с САУ ГА;   + ;
12; 12.12.2018 20:34:49.000; Отсутствие связи с САУ ГА;   - ;
13; 12.12.2018 20:34:31.000; Отсутствие связи с САУ ГА;   + ;
14; 12.12.2018 20:21:15.000; Установка даты и времени;   + ;
15; 12.12.2018 20:19:34.000; Отсутствие связи с САУ ГА;   + ;
16; 12.12.2018 20:19:34.000; Установка даты и времени;   + ;
17; 12.12.2018 6:50:53.000; Отсутствие связи с САУ ГА;   + ;
18; 11.12.2018 23:50:10.000; Отсутствие связи с САУ ГА;   - ;
19; 11.12.2018 23:03:20.000; Отсутствие связи с САУ ГА;   + ;
20; 11.12.2018 23:03:01.000; Нет связи с МКЛП №8;   + ;
21; 11.12.2018 23:03:01.000; Нет связи с МКЛП №1;   + ;
22; 11.12.2018 23:03:01.000; Нет связи с МКЛП №3;   + ;
23; 11.12.2018 23:03:01.000; Нет связи с МКЛП №4;   + ;
24; 11.12.2018 23:03:01.000; Нет связи с МКЛП №2;   + ;
25; 11.12.2018 23:03:01.000; Нет связи с МКЛП №6;   + ;
26; 11.12.2018 23:03:01.000; Нет связи с МКЛП №7;   + ;
27; 11.12.2018 23:03:01.000; Нет связи с МКЛП №5;   + ;
28; 11.12.2018 22:30:50.000; Установка даты и времени;   + ;
29; 11.12.2018 22:25:27.000; Нет связи с МКЛП №7;   + ;
30; 11.12.2018 22:25:27.000; Нет связи с МКЛП №5;   + ;
31; 11.12.2018 22:25:27.000; Нет связи с МКЛП №1;   + ;
32; 11.12.2018 22:25:27.000; Нет связи с МКЛП №8;   + ;
33; 11.12.2018 22:25:27.000; Нет связи с МКЛП №6;   + ;
34; 11.12.2018 22:25:27.000; Нет связи с МКЛП №2;   + ;
35; 11.12.2018 22:25:27.000; Нет связи с МКЛП №3;   + ;
36; 11.12.2018 22:25:27.000; Нет связи с МКЛП №4;   + ;
37; 11.12.2018 22:17:09.000; Отсутствие связи с САУ ГА;   + ;
38; 11.12.2018 22:17:09.000; Отсутствие связи с САУ ГА;   - ;
39; 11.12.2018 22:16:22.000; Установка даты и времени;   + ;
40; 11.12.2018 22:08:09.000; Нет связи с МКЛП №3;   + ;
41; 11.12.2018 22:08:09.000; Нет связи с МКЛП №2;   + ;
42; 11.12.2018 22:08:09.000; Нет связи с МКЛП №1;   + ;
43; 11.12.2018 22:08:09.000; Нет связи с МКЛП №8;   + ;
44; 11.12.2018 22:08:09.000; Нет связи с МКЛП №7;   + ;
45; 11.12.2018 22:08:09.000; Нет связи с МКЛП №4;   + ;
46; 11.12.2018 22:08:09.000; Нет связи с МКЛП №5;   + ;
47; 11.12.2018 22:08:09.000; Нет связи с МКЛП №6;   + ;
48; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
49; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
50; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
51; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
52; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
53; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
54; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
55; 11.12.2018 22:07:59.000; Включение ПТК КМ-Дельта;   + ;
56; 11.12.2018 22:07:59.000; Установка даты и времени;   + ;
57; 11.12.2018 21:59:13.000; Нет связи с МКЛП №7;   + ;
58; 11.12.2018 21:59:13.000; Нет связи с МКЛП №1;   + ;
59; 11.12.2018 21:59:13.000; Нет связи с МКЛП №2;   + ;
60; 11.12.2018 21:59:13.000; Нет связи с МКЛП №3;   + ;
61; 11.12.2018 21:59:13.000; Нет связи с МКЛП №4;   + ;
62; 11.12.2018 21:59:13.000; Нет связи с МКЛП №5;   + ;
63; 11.12.2018 21:59:13.000; Нет связи с МКЛП №6;   + ;
64; 11.12.2018 21:59:13.000; Нет связи с МКЛП №8;   + ;
65; 11.12.2018 21:58:49.000; Установка даты и времени;   + ;
66; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
67; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
68; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
69; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
70; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
71; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
72; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
73; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
74; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
75; 11.12.2018 21:58:49.000; Включение ПТК КМ-Дельта;   + ;
76; 11.12.2018 21:46:48.000; Установка даты и времени;   + ;
77; 11.12.2018 20:59:11.000; Отсутствие связи с САУ ГА;   - ;
78; 11.12.2018 20:54:06.000; Отсутствие связи с САУ ГА;   + ;
79; 11.12.2018 20:53:48.000; Отсутствие связи с САУ ГА;   - ;
80; 11.12.2018 20:52:40.000; Отсутствие связи с САУ ГА;   + ;
81; 11.12.2018 20:52:13.000; Сброс АРЗ;   + ;
82; 11.12.2018 20:52:01.000; Авария от МКЛП №3;   + ;
83; 11.12.2018 20:52:00.000; Предупреждение от МКЛП №3;   + ;
84; 11.12.2018 20:51:45.000; Авария от МКЛП №1;   + ;
85; 11.12.2018 20:51:45.000; Аварийный останов ГА;   + ;
86; 11.12.2018 20:51:39.000; Предупреждение от МКЛП №1;   + ;
87; 11.12.2018 20:51:39.000; Блокировка пуска ГА;   + ;
88; 11.12.2018 20:51:23.000; Блокировка пуска ГА;   - ;
89; 11.12.2018 20:51:23.000; Аварийный останов ГА;   - ;
90; 11.12.2018 20:51:18.000; Отсутствие связи с САУ ГА;   - ;
91; 11.12.2018 20:46:46.000; Авария от МКЛП №1;   + ;
92; 11.12.2018 20:46:46.000; Предупреждение от МКЛП №3;   + ;
93; 11.12.2018 20:46:46.000; Авария от МКЛП №3;   + ;
94; 11.12.2018 20:46:17.000; Предупреждение от МКЛП №1;   + ;
95; 11.12.2018 20:46:17.000; Блокировка пуска ГА;   + ;
96; 11.12.2018 20:46:17.000; Аварийный останов ГА;   + ;
97; 11.12.2018 20:46:17.000; Авария от МКЛП №1;   + ;
98; 11.12.2018 20:46:17.000; Блокировка пуска ГА;   - ;
99; 11.12.2018 20:46:17.000; Аварийный останов ГА;   - ;
100; 11.12.2018 20:46:17.000; Предупреждение от МКЛП №1;   + ;
101; 11.12.2018 20:46:17.000; Блокировка пуска ГА;   + ;
102; 11.12.2018 20:46:17.000; Аварийный останов ГА;   + ;
103; 11.12.2018 20:44:49.000; Аварийный останов ГА;   - ;
104; 11.12.2018 20:44:49.000; Блокировка пуска ГА;   - ;
105; 11.12.2018 20:44:49.000; Авария от МКЛП №3;   + ;
106; 11.12.2018 20:43:33.000; Предупреждение от МКЛП №3;   + ;
107; 11.12.2018 20:41:57.000; Нет связи с МКЛП №8;   + ;
108; 11.12.2018 20:41:57.000; Нет связи с МКЛП №2;   + ;
109; 11.12.2018 20:41:57.000; Нет связи с МКЛП №5;   + ;
110; 11.12.2018 20:41:57.000; Нет связи с МКЛП №4;   + ;
111; 11.12.2018 20:41:57.000; Нет связи с МКЛП №1;   - ;
112; 11.12.2018 20:41:57.000; Блокировка пуска ГА;   + ;
113; 11.12.2018 20:41:57.000; Аварийный останов ГА;   + ;
114; 11.12.2018 20:41:57.000; Предупреждение от МКЛП №1;   + ;
115; 11.12.2018 20:41:57.000; Авария от МКЛП №1;   + ;
116; 11.12.2018 20:41:57.000; Нет связи с МКЛП №7;   + ;
117; 11.12.2018 20:41:57.000; Нет связи с МКЛП №6;   + ;
118; 11.12.2018 20:41:33.000; Нет связи с МКЛП №3;   - ;
119; 11.12.2018 20:36:56.000; Нет связи с МКЛП №8;   - ;
