Архив событий от ПТК КМ-Дельта от 13 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
120; 11.12.2018 20:36:56.000; Нет связи с МКЛП №7;   - ;
121; 11.12.2018 20:36:56.000; Нет связи с МКЛП №1;   - ;
122; 11.12.2018 20:36:56.000; Нет связи с МКЛП №3;   - ;
123; 11.12.2018 20:36:56.000; Нет связи с МКЛП №2;   - ;
124; 11.12.2018 20:36:56.000; Нет связи с МКЛП №5;   - ;
125; 11.12.2018 20:36:56.000; Нет связи с МКЛП №6;   - ;
126; 11.12.2018 20:36:56.000; Нет связи с МКЛП №4;   - ;
127; 11.12.2018 20:36:33.000; Нет связи с МКЛП №8;   + ;
128; 11.12.2018 20:36:33.000; Нет связи с МКЛП №7;   + ;
129; 11.12.2018 20:36:33.000; Нет связи с МКЛП №6;   + ;
130; 11.12.2018 20:36:33.000; Нет связи с МКЛП №4;   + ;
131; 11.12.2018 20:36:33.000; Нет связи с МКЛП №3;   + ;
132; 11.12.2018 20:36:33.000; Нет связи с МКЛП №2;   + ;
133; 11.12.2018 20:36:33.000; Нет связи с МКЛП №1;   + ;
134; 11.12.2018 20:36:33.000; Нет связи с МКЛП №5;   + ;
135; 11.12.2018 20:36:16.000; Отсутствие связи с САУ ГА;   - ;
136; 11.12.2018 20:36:16.000; Установка настроеек ПТК КМ-Дельта;   + ;
137; 11.12.2018 20:33:57.000; Нет связи с МКЛП №3;   + ;
138; 11.12.2018 20:33:37.000; Отсутствие связи с САУ ГА;   - ;
139; 11.12.2018 20:33:33.000; Нет связи с МКЛП №1;   + ;
140; 11.12.2018 20:33:33.000; Отсутствие связи с САУ ГА;   + ;
141; 11.12.2018 20:33:16.000; Отсутствие связи с САУ ГА;   - ;
142; 11.12.2018 20:32:22.000; Отсутствие связи с САУ ГА;   + ;
143; 11.12.2018 20:32:21.000; Отсутствие связи с САУ ГА;   + ;
144; 11.12.2018 20:32:08.000; Отсутствие связи с САУ ГА;   + ;
145; 11.12.2018 20:31:54.000; Аварийный останов ГА;   + ;
146; 11.12.2018 20:31:54.000; Блокировка пуска ГА;   + ;
147; 11.12.2018 20:31:54.000; Авария от МКЛП №1;   + ;
148; 11.12.2018 20:31:54.000; Предупреждение от МКЛП №1;   + ;
149; 11.12.2018 20:31:54.000; Отсутствие связи с САУ ГА;   - ;
150; 11.12.2018 20:31:54.000; Отсутствие связи с САУ ГА;   + ;
151; 11.12.2018 20:31:53.000; Отсутствие связи с САУ ГА;   - ;
152; 11.12.2018 20:31:46.000; Отсутствие связи с САУ ГА;   + ;
153; 11.12.2018 20:31:32.000; Предупреждение от МКЛП №1;   + ;
154; 11.12.2018 20:31:32.000; Блокировка пуска ГА;   + ;
155; 11.12.2018 20:31:32.000; Аварийный останов ГА;   + ;
156; 11.12.2018 20:31:32.000; Авария от МКЛП №1;   + ;
157; 11.12.2018 20:31:32.000; Отсутствие связи с САУ ГА;   + ;
158; 11.12.2018 20:31:29.000; Нет связи с МКЛП №6;   + ;
159; 11.12.2018 20:31:29.000; Нет связи с МКЛП №8;   + ;
160; 11.12.2018 20:31:29.000; Нет связи с МКЛП №7;   + ;
161; 11.12.2018 20:31:29.000; Нет связи с МКЛП №5;   + ;
162; 11.12.2018 20:31:29.000; Отсутствие связи с САУ ГА;   + ;
163; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
164; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
165; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
166; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
167; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
168; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
169; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
170; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
171; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
172; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
173; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
174; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
175; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
176; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
177; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
178; 11.12.2018 20:31:26.000; Установка даты и времени;   + ;
179; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
180; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
181; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
182; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
183; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
184; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
185; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
186; 11.12.2018 20:31:26.000; Нет связи с МКЛП №1;   + ;
187; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
188; 11.12.2018 20:31:26.000; Нет связи с МКЛП №3;   + ;
189; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
190; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
191; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
192; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
193; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
194; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
195; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
196; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
197; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
198; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
199; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
200; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
201; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
202; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
203; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
204; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
205; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
206; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
207; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
208; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
209; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
210; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
211; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
212; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
213; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
214; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
215; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
216; 11.12.2018 19:22:02.000; Нет связи с МКЛП №7;   - ;
217; 11.12.2018 19:22:02.000; Нет связи с МКЛП №6;   - ;
218; 11.12.2018 19:22:02.000; Нет связи с МКЛП №1;   - ;
219; 11.12.2018 19:22:02.000; Нет связи с МКЛП №8;   - ;
220; 11.12.2018 19:22:02.000; Нет связи с МКЛП №4;   - ;
221; 11.12.2018 19:22:02.000; Нет связи с МКЛП №3;   - ;
222; 11.12.2018 19:22:02.000; Нет связи с МКЛП №2;   - ;
223; 11.12.2018 19:22:02.000; Нет связи с МКЛП №5;   - ;
224; 11.12.2018 19:21:38.000; Отсутствие связи с САУ ГА;   - ;
225; 11.12.2018 19:21:38.000; Установка настроеек ПТК КМ-Дельта;   + ;
226; 11.12.2018 19:21:30.000; Отсутствие связи с САУ ГА;   + ;
227; 11.12.2018 19:21:07.000; Отсутствие связи с САУ ГА;   - ;
228; 11.12.2018 19:20:03.000; Нет связи с МКЛП №5;   + ;
229; 11.12.2018 19:20:03.000; Нет связи с МКЛП №4;   + ;
230; 11.12.2018 19:20:03.000; Нет связи с МКЛП №7;   + ;
231; 11.12.2018 19:20:03.000; Нет связи с МКЛП №6;   + ;
232; 01.12.2018 23:04:14.000; Отсутствие связи с САУ ГА;   + ;
233; 01.12.2018 23:04:14.000; Отсутствие связи с САУ ГА;   - ;
234; 01.12.2018 23:02:10.000; Отсутствие связи с САУ ГА;   + ;
235; 01.12.2018 23:01:32.000; Отсутствие связи с САУ ГА;   - ;
236; 01.12.2018 22:57:07.000; Отсутствие связи с САУ ГА;   + ;
237; 01.12.2018 22:56:43.000; Отсутствие связи с САУ ГА;   - ;
238; 01.12.2018 22:47:52.000; Отсутствие связи с САУ ГА;   + ;
239; 01.12.2018 22:47:34.000; Отсутствие связи с САУ ГА;   - ;
240; 01.12.2018 22:43:00.000; Отсутствие связи с САУ ГА;   + ;
241; 01.12.2018 22:42:42.000; Отсутствие связи с САУ ГА;   - ;
242; 01.12.2018 22:37:41.000; Отсутствие связи с САУ ГА;   + ;
243; 01.12.2018 22:37:24.000; Отсутствие связи с САУ ГА;   - ;
244; 01.12.2018 22:36:33.000; Отсутствие связи с САУ ГА;   + ;
245; 01.12.2018 22:36:15.000; Отсутствие связи с САУ ГА;   - ;
246; 01.12.2018 22:35:24.000; Отсутствие связи с САУ ГА;   + ;
247; 01.12.2018 22:35:06.000; Отсутствие связи с САУ ГА;   - ;
248; 01.12.2018 22:34:47.000; Отсутствие связи с САУ ГА;   - ;
249; 01.12.2018 22:34:47.000; Отсутствие связи с САУ ГА;   + ;
250; 01.12.2018 22:34:01.000; Отсутствие связи с САУ ГА;   - ;
251; 01.12.2018 22:34:01.000; Отсутствие связи с САУ ГА;   + ;
252; 01.12.2018 22:33:24.000; Отсутствие связи с САУ ГА;   + ;
253; 01.12.2018 22:33:02.000; Отсутствие связи с САУ ГА;   - ;
254; 01.12.2018 22:32:24.000; Отсутствие связи с САУ ГА;   + ;
255; 01.12.2018 22:32:23.000; Отсутствие связи с САУ ГА;   + ;
256; 01.12.2018 22:32:06.000; Отсутствие связи с САУ ГА;   - ;
257; 01.12.2018 22:31:59.000; Отсутствие связи с САУ ГА;   - ;
258; 01.12.2018 22:31:56.000; Отсутствие связи с САУ ГА;   + ;
259; 01.12.2018 22:31:38.000; Отсутствие связи с САУ ГА;   - ;
260; 01.12.2018 22:31:32.000; Отсутствие связи с САУ ГА;   + ;
261; 01.12.2018 22:31:30.000; Отсутствие связи с САУ ГА;   + ;
262; 01.12.2018 22:31:27.000; Отсутствие связи с САУ ГА;   - ;
263; 01.12.2018 22:31:27.000; Отсутствие связи с САУ ГА;   + ;
264; 01.12.2018 22:31:26.000; Отсутствие связи с САУ ГА;   - ;
265; 01.12.2018 22:31:17.000; Отсутствие связи с САУ ГА;   + ;
266; 01.12.2018 22:31:16.000; Отсутствие связи с САУ ГА;   + ;
267; 01.12.2018 22:31:15.000; Отсутствие связи с САУ ГА;   + ;
268; 01.12.2018 22:31:14.000; Отсутствие связи с САУ ГА;   - ;
269; 01.12.2018 22:31:12.000; Отсутствие связи с САУ ГА;   - ;
270; 01.12.2018 22:31:00.000; Нет связи с МКЛП №2;   + ;
271; 01.12.2018 22:31:00.000; Нет связи с МКЛП №3;   + ;
272; 01.12.2018 22:31:00.000; Нет связи с МКЛП №4;   + ;
273; 01.12.2018 22:31:00.000; Нет связи с МКЛП №5;   + ;
274; 01.12.2018 22:31:00.000; Нет связи с МКЛП №6;   + ;
275; 01.12.2018 22:31:00.000; Нет связи с МКЛП №7;   + ;
276; 01.12.2018 22:31:00.000; Нет связи с МКЛП №8;   + ;
277; 01.12.2018 22:31:00.000; Отсутствие связи с САУ ГА;   + ;
278; 01.12.2018 22:31:00.000; Нет связи с МКЛП №1;   + ;
279; 01.12.2018 22:30:54.000; Нет связи с МКЛП №6;   + ;
280; 01.12.2018 22:30:54.000; Нет связи с МКЛП №5;   + ;
281; 01.12.2018 22:30:54.000; Нет связи с МКЛП №4;   + ;
282; 01.12.2018 22:30:54.000; Нет связи с МКЛП №3;   + ;
283; 01.12.2018 22:30:54.000; Нет связи с МКЛП №2;   + ;
284; 01.12.2018 22:30:54.000; Нет связи с МКЛП №1;   + ;
285; 01.12.2018 22:30:54.000; Нет связи с МКЛП №4;   + ;
286; 01.12.2018 22:30:54.000; Нет связи с МКЛП №7;   + ;
287; 01.12.2018 22:30:54.000; Нет связи с МКЛП №6;   + ;
288; 01.12.2018 22:30:54.000; Нет связи с МКЛП №5;   + ;
289; 01.12.2018 22:30:54.000; Нет связи с МКЛП №7;   + ;
290; 01.12.2018 22:30:54.000; Нет связи с МКЛП №3;   + ;
291; 01.12.2018 22:30:54.000; Нет связи с МКЛП №2;   + ;
292; 01.12.2018 22:30:54.000; Нет связи с МКЛП №8;   + ;
293; 01.12.2018 22:30:54.000; Нет связи с МКЛП №8;   + ;
294; 01.12.2018 22:30:54.000; Нет связи с МКЛП №1;   + ;
295; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
296; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
297; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
298; 01.12.2018 22:30:53.000; Отсутствие связи с САУ ГА;   + ;
299; 01.12.2018 22:30:53.000; Отсутствие связи с САУ ГА;   + ;
300; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
301; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
302; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
303; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
304; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
305; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
306; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
307; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
308; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
309; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
310; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
311; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
312; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
313; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
314; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
315; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
316; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
317; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
318; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
319; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
320; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
321; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
322; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
323; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
324; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
325; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
326; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
327; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
328; 01.12.2018 22:30:53.000; Нет связи с МКЛП №1;   + ;
329; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
330; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
331; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
332; 01.12.2018 22:30:53.000; Отсутствие связи с САУ ГА;   + ;
333; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
334; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
335; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
336; 01.12.2018 22:30:53.000; Нет связи с МКЛП №3;   + ;
337; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
338; 01.12.2018 22:30:53.000; Нет связи с МКЛП №2;   + ;
339; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
340; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
341; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
342; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
343; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
344; 01.12.2018 22:30:53.000; Нет связи с МКЛП №5;   + ;
345; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
346; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
347; 01.12.2018 22:30:53.000; Нет связи с МКЛП №4;   + ;
348; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
349; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
350; 01.12.2018 22:30:53.000; Нет связи с МКЛП №8;   + ;
351; 01.12.2018 22:30:53.000; Нет связи с МКЛП №7;   + ;
352; 01.12.2018 22:30:53.000; Нет связи с МКЛП №6;   + ;
353; 01.12.2018 22:30:53.000; Отсутствие связи с САУ ГА;   + ;
354; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
355; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
356; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
357; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
358; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
359; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
360; 01.12.2018 22:30:50.000; Нет связи с МКЛП №4;   + ;
361; 01.12.2018 22:30:50.000; Нет связи с МКЛП №2;   + ;
362; 01.12.2018 22:30:50.000; Нет связи с МКЛП №4;   + ;
363; 01.12.2018 22:30:50.000; Нет связи с МКЛП №3;   + ;
364; 01.12.2018 22:30:50.000; Нет связи с МКЛП №2;   + ;
365; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
366; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
367; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
368; 01.12.2018 22:30:50.000; Нет связи с МКЛП №1;   + ;
369; 01.12.2018 22:30:50.000; Нет связи с МКЛП №2;   + ;
370; 01.12.2018 22:30:50.000; Включение ПТК КМ-Дельта;   + ;
