Архив событий от ПТК КМ-Дельта от 11 декабря 2018 г. IP-адрес: 192.168.1.170
№; Дата; Событие; Статус сигнала;
1; 11.12.2018 20:36:56.000; Нет связи с МКЛП №3;   - ;
2; 11.12.2018 20:36:56.000; Нет связи с МКЛП №4;   - ;
3; 11.12.2018 20:36:56.000; Нет связи с МКЛП №5;   - ;
4; 11.12.2018 20:36:56.000; Нет связи с МКЛП №6;   - ;
5; 11.12.2018 20:36:56.000; Нет связи с МКЛП №7;   - ;
6; 11.12.2018 20:36:56.000; Нет связи с МКЛП №8;   - ;
7; 11.12.2018 20:36:56.000; Нет связи с МКЛП №1;   - ;
8; 11.12.2018 20:36:56.000; Нет связи с МКЛП №2;   - ;
9; 11.12.2018 20:36:33.000; Нет связи с МКЛП №5;   + ;
10; 11.12.2018 20:36:33.000; Нет связи с МКЛП №1;   + ;
11; 11.12.2018 20:36:33.000; Нет связи с МКЛП №2;   + ;
12; 11.12.2018 20:36:33.000; Нет связи с МКЛП №3;   + ;
13; 11.12.2018 20:36:33.000; Нет связи с МКЛП №7;   + ;
14; 11.12.2018 20:36:33.000; Нет связи с МКЛП №6;   + ;
15; 11.12.2018 20:36:33.000; Нет связи с МКЛП №8;   + ;
16; 11.12.2018 20:36:33.000; Нет связи с МКЛП №4;   + ;
17; 11.12.2018 20:36:16.000; Отсутствие связи с САУ ГА;   - ;
18; 11.12.2018 20:36:16.000; Установка настроеек ПТК КМ-Дельта;   + ;
19; 11.12.2018 20:33:37.000; Отсутствие связи с САУ ГА;   - ;
20; 11.12.2018 20:32:22.000; Отсутствие связи с САУ ГА;   + ;
21; 11.12.2018 20:32:08.000; Отсутствие связи с САУ ГА;   + ;
22; 11.12.2018 20:31:54.000; Отсутствие связи с САУ ГА;   - ;
23; 11.12.2018 20:31:54.000; Блокировка пуска ГА;   + ;
24; 11.12.2018 20:31:54.000; Предупреждение от МКЛП №1;   + ;
25; 11.12.2018 20:31:54.000; Авария от МКЛП №1;   + ;
26; 11.12.2018 20:31:54.000; Аварийный останов ГА;   + ;
27; 11.12.2018 20:31:54.000; Отсутствие связи с САУ ГА;   + ;
28; 11.12.2018 20:31:53.000; Отсутствие связи с САУ ГА;   - ;
29; 11.12.2018 20:31:46.000; Отсутствие связи с САУ ГА;   + ;
30; 11.12.2018 20:31:32.000; Предупреждение от МКЛП №1;   + ;
31; 11.12.2018 20:31:32.000; Авария от МКЛП №1;   + ;
32; 11.12.2018 20:31:32.000; Блокировка пуска ГА;   + ;
33; 11.12.2018 20:31:32.000; Аварийный останов ГА;   + ;
34; 11.12.2018 20:31:32.000; Отсутствие связи с САУ ГА;   + ;
35; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
36; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
37; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
38; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
39; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
40; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
41; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
42; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
43; 11.12.2018 20:31:26.000; Нет связи с МКЛП №8;   + ;
44; 11.12.2018 20:31:26.000; Нет связи с МКЛП №6;   + ;
45; 11.12.2018 20:31:26.000; Нет связи с МКЛП №5;   + ;
46; 11.12.2018 20:31:26.000; Нет связи с МКЛП №4;   + ;
47; 11.12.2018 20:31:26.000; Нет связи с МКЛП №3;   + ;
48; 11.12.2018 20:31:26.000; Установка даты и времени;   + ;
49; 11.12.2018 20:31:26.000; Нет связи с МКЛП №2;   + ;
50; 11.12.2018 20:31:26.000; Нет связи с МКЛП №7;   + ;
51; 11.12.2018 20:31:26.000; Нет связи с МКЛП №1;   + ;
52; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
53; 11.12.2018 20:31:26.000; Отсутствие связи с САУ ГА;   + ;
54; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
55; 11.12.2018 20:31:26.000; Включение ПТК КМ-Дельта;   + ;
56; 11.12.2018 19:43:08.000; Нет связи с МКЛП №2;   - ;
57; 11.12.2018 19:43:08.000; Нет связи с МКЛП №1;   - ;
58; 11.12.2018 19:43:08.000; Нет связи с МКЛП №8;   - ;
59; 11.12.2018 19:43:08.000; Нет связи с МКЛП №7;   - ;
60; 11.12.2018 19:43:08.000; Нет связи с МКЛП №6;   - ;
61; 11.12.2018 19:43:08.000; Нет связи с МКЛП №3;   - ;
62; 11.12.2018 19:43:08.000; Нет связи с МКЛП №4;   - ;
63; 11.12.2018 19:43:08.000; Нет связи с МКЛП №5;   - ;
64; 11.12.2018 19:42:52.000; Нет связи с МКЛП №2;   + ;
65; 11.12.2018 19:42:52.000; Нет связи с МКЛП №3;   + ;
66; 11.12.2018 19:42:52.000; Нет связи с МКЛП №4;   + ;
67; 11.12.2018 19:42:52.000; Нет связи с МКЛП №6;   + ;
68; 11.12.2018 19:42:52.000; Нет связи с МКЛП №7;   + ;
69; 11.12.2018 19:42:52.000; Нет связи с МКЛП №8;   + ;
70; 11.12.2018 19:42:52.000; Нет связи с МКЛП №5;   + ;
71; 11.12.2018 19:42:52.000; Нет связи с МКЛП №1;   + ;
72; 11.12.2018 19:42:51.000; Предупреждение от МКЛП №7;   + ;
73; 11.12.2018 19:42:51.000; Предупреждение от МКЛП №8;   + ;
74; 11.12.2018 19:42:51.000; Предупреждение от МКЛП №6;   + ;
75; 11.12.2018 19:42:51.000; Предупреждение от МКЛП №5;   + ;
76; 11.12.2018 19:42:51.000; Предупреждение от МКЛП №4;   + ;
77; 11.12.2018 19:42:51.000; Предупреждение от МКЛП №3;   + ;
78; 11.12.2018 19:42:51.000; Предупреждение от МКЛП №2;   + ;
79; 11.12.2018 19:40:59.000; Отсутствие связи с САУ ГА;   - ;
80; 11.12.2018 19:40:29.000; Отсутствие связи с САУ ГА;   + ;
81; 11.12.2018 19:40:29.000; Аварийный останов ГА;   + ;
82; 11.12.2018 19:40:29.000; Блокировка пуска ГА;   + ;
83; 11.12.2018 19:40:29.000; Авария от МКЛП №1;   + ;
84; 11.12.2018 19:40:29.000; Предупреждение от МКЛП №1;   + ;
85; 11.12.2018 19:40:28.000; Отсутствие связи с САУ ГА;   - ;
86; 11.12.2018 19:40:08.000; Отсутствие связи с САУ ГА;   + ;
87; 11.12.2018 19:39:50.000; Отсутствие связи с САУ ГА;   - ;
88; 11.12.2018 19:33:46.000; Отсутствие связи с САУ ГА;   + ;
89; 11.12.2018 19:33:28.000; Отсутствие связи с САУ ГА;   - ;
90; 11.12.2018 19:27:49.000; Отсутствие связи с САУ ГА;   + ;
91; 11.12.2018 19:27:31.000; Отсутствие связи с САУ ГА;   - ;
92; 11.12.2018 19:23:48.000; Отсутствие связи с САУ ГА;   + ;
93; 11.12.2018 19:22:56.000; Установка настроеек ПТК КМ-Дельта;   + ;
94; 11.12.2018 19:22:56.000; Отсутствие связи с САУ ГА;   - ;
95; 11.12.2018 19:22:02.000; Нет связи с МКЛП №8;   - ;
96; 11.12.2018 19:22:02.000; Нет связи с МКЛП №4;   - ;
97; 11.12.2018 19:22:02.000; Нет связи с МКЛП №1;   - ;
98; 11.12.2018 19:22:02.000; Нет связи с МКЛП №2;   - ;
99; 11.12.2018 19:22:02.000; Нет связи с МКЛП №3;   - ;
100; 11.12.2018 19:22:02.000; Нет связи с МКЛП №5;   - ;
101; 11.12.2018 19:22:02.000; Нет связи с МКЛП №6;   - ;
102; 11.12.2018 19:22:02.000; Нет связи с МКЛП №7;   - ;
103; 11.12.2018 19:21:50.000; Авария от МКЛП №8;   + ;
104; 11.12.2018 19:21:50.000; Отсутствие связи с САУ ГА;   + ;
105; 11.12.2018 19:21:50.000; Сброс АРЗ;   + ;
106; 11.12.2018 19:21:50.000; Авария от МКЛП №6;   + ;
107; 11.12.2018 19:21:49.000; Установка настроеек ПТК КМ-Дельта;   + ;
108; 11.12.2018 19:21:49.000; Авария от МКЛП №5;   + ;
109; 11.12.2018 19:21:49.000; Аварийный останов ГА;   + ;
110; 11.12.2018 19:21:49.000; Авария от МКЛП №7;   + ;
111; 11.12.2018 19:21:49.000; Отсутствие связи с САУ ГА;   - ;
112; 11.12.2018 19:21:38.000; Отсутствие связи с САУ ГА;   - ;
113; 11.12.2018 19:21:38.000; Установка настроеек ПТК КМ-Дельта;   + ;
114; 11.12.2018 19:21:33.000; Блокировка пуска ГА;   + ;
115; 11.12.2018 19:21:33.000; Отсутствие связи с САУ ГА;   + ;
116; 11.12.2018 19:21:33.000; Авария от МКЛП №1;   + ;
117; 11.12.2018 19:21:33.000; Предупреждение от МКЛП №1;   + ;
118; 11.12.2018 19:21:33.000; Аварийный останов ГА;   + ;
119; 11.12.2018 19:21:30.000; Отсутствие связи с САУ ГА;   + ;
120; 11.12.2018 19:21:07.000; Отсутствие связи с САУ ГА;   - ;
121; 11.12.2018 19:20:46.000; Отсутствие связи с САУ ГА;   - ;
122; 11.12.2018 19:20:46.000; Предупреждение от МКЛП №3;   + ;
123; 11.12.2018 19:20:46.000; Предупреждение от МКЛП №2;   + ;
124; 11.12.2018 19:20:46.000; Установка настроеек ПТК КМ-Дельта;   + ;
125; 11.12.2018 19:20:46.000; Предупреждение от МКЛП №8;   + ;
126; 11.12.2018 19:20:46.000; Предупреждение от МКЛП №1;   + ;
127; 11.12.2018 19:20:46.000; Отсутствие связи с САУ ГА;   + ;
128; 11.12.2018 19:20:46.000; Предупреждение от МКЛП №4;   + ;
129; 11.12.2018 19:20:46.000; Предупреждение от МКЛП №7;   + ;
130; 11.12.2018 19:20:46.000; Предупреждение от МКЛП №6;   + ;
131; 11.12.2018 19:20:46.000; Предупреждение от МКЛП №5;   + ;
132; 11.12.2018 19:20:46.000; Блокировка пуска ГА;   + ;
133; 11.12.2018 19:20:43.000; Установка настроеек ПТК КМ-Дельта;   + ;
134; 11.12.2018 19:20:43.000; Отсутствие связи с САУ ГА;   - ;
135; 11.12.2018 19:20:43.000; Отсутствие связи с САУ ГА;   + ;
